,AgtId,Year,Status,Agtp,Stage,GeWom,GeMe,GeSo,GeFa
1,1,1998,Multiparty signed/agreed,Intra,Imp,0,0,0,0
2,2,1995,Multiparty signed/agreed,Intra,Imp,1,1,0,0
3,3,1997,Multiparty signed/agreed,InterIntra,Ren,0,0,0,0
4,4,1999,Unilateral document,InterIntra,Imp,0,0,0,0
5,5,1999,Unilateral document,InterIntra,SubPar,0,0,0,0
6,6,1999,Unilateral document,Intra,Pre,0,0,0,0
7,8,1994,Multiparty signed/agreed,Intra,SubComp,0,0,0,0
8,9,1997,Multiparty signed/agreed,Intra,Pre,0,0,0,0
9,10,1992,Multiparty signed/agreed,Intra,Cea,0,0,0,0
10,12,1993,Multiparty signed/agreed,Intra,SubPar,0,0,0,0
11,13,1994,Multiparty signed/agreed,Intra,Pre,0,0,0,0
12,17,1998,Multiparty signed/agreed,Intra,Pre,0,0,0,0
13,18,1998,Multiparty signed/agreed,Intra,SubPar,0,0,0,0
14,19,1998,Multiparty signed/agreed,Intra,Pre,0,0,0,0
15,20,1998,Multiparty signed/agreed,Intra,Cea,0,0,0,0
16,21,1998,Multiparty signed/agreed,Intra,Pre,0,0,0,0
17,22,1998,Multiparty signed/agreed,Intra,Cea,0,0,0,0
18,23,1998,Multiparty signed/agreed,Intra,Pre,0,0,0,0
19,24,1998,Multiparty signed/agreed,Intra,Pre,0,0,0,0
20,25,1998,Multiparty signed/agreed,Intra,Cea,0,0,0,0
21,27,1993,Multiparty signed/agreed,Intra,SubPar,0,0,0,0
22,28,1992,Multiparty signed/agreed,Intra,SubPar,0,0,0,0
23,29,1992,Multiparty signed/agreed,Intra,SubPar,0,0,0,0
24,30,1993,Multiparty signed/agreed,Intra,Imp,0,0,0,0
25,31,1993,Multiparty signed/agreed,Intra,Pre,0,0,0,0
26,32,1998,Multiparty signed/agreed,Inter,Imp,0,0,0,0
27,33,1991,Multiparty signed/agreed,InterIntra,Pre,0,0,0,0
28,34,1993,Multiparty signed/agreed,Intra,Pre,0,0,0,0
29,35,1995,Multiparty signed/agreed,Intra,SubPar,0,0,0,0
30,36,1994,Multiparty signed/agreed,Intra,Pre,1,0,0,1
31,38,1991,Multiparty signed/agreed,Intra,Cea,0,1,0,0
32,39,1991,Multiparty signed/agreed,InterIntra,Pre,0,0,0,0
33,40,1991,Multiparty signed/agreed,InterIntra,SubPar,0,0,0,0
34,41,1992,Multiparty signed/agreed,InterIntra,Imp,0,0,0,0
35,42,1994,Multiparty signed/agreed,InterIntra,SubPar,0,0,0,1
36,43,1997,Multiparty signed/agreed,InterIntra,Pre,0,0,0,0
37,46,1991,Multiparty signed/agreed,Intra,Pre,0,0,0,0
38,62,1999,Multiparty signed/agreed,Intra,Imp,0,0,0,0
39,63,1999,Multiparty signed/agreed,Intra,Imp,0,0,0,0
40,70,1998,Multiparty signed/agreed,Intra,Pre,0,0,0,0
41,75,1997,Multiparty signed/agreed,Intra,Pre,1,0,0,0
42,77,1995,Multiparty signed/agreed,Intra,Pre,0,0,0,0
43,78,1995,Multiparty signed/agreed,Intra,Pre,0,0,0,0
44,79,1998,Multiparty signed/agreed,Intra,Imp,0,0,0,0
45,80,2000,Multiparty signed/agreed,Intra,SubPar,0,0,0,1
46,85,2006,Multiparty signed/agreed,Intra,Cea,0,0,0,1
47,86,2006,Multiparty signed/agreed,Intra,Pre,1,0,0,0
48,87,2006,Multiparty signed/agreed,Intra,SubPar,1,0,0,1
49,88,2006,Multiparty signed/agreed,Intra,Imp,1,0,0,0
50,89,2006,Multiparty signed/agreed,Intra,Pre,0,0,0,0
51,90,2004,Multiparty signed/agreed,Intra,Ren,0,0,0,0
52,91,2004,Multiparty signed/agreed,Intra,Imp,1,0,0,0
53,92,2004,Multiparty signed/agreed,Intra,Cea,0,0,0,0
54,94,2005,Multiparty signed/agreed,Intra,Pre,1,0,0,1
55,98,2004,Multiparty signed/agreed,Intra,Imp,1,1,0,1
56,99,2004,Multiparty signed/agreed,Intra,Pre,1,0,0,0
57,100,2002,Multiparty signed/agreed,Intra,Pre,0,0,0,0
58,101,2002,Multiparty signed/agreed,Intra,Pre,0,0,0,0
59,102,2001,Multiparty signed/agreed,Intra,Pre,0,0,0,0
60,103,2001,Multiparty signed/agreed,Intra,Cea,0,0,0,0
