PP,PPName,AgtId,Agt,Agtp,Con,Dat,Eps,GeWom,HrFra,Mps,Pol,Polps,Stage,StageSub,Status,Terps,TjMech,Year
2,Afghanistan: 2000s Post-intervention process,1923,Agreement between the two campaign teams regarding the structure of the national unity government,Intra,Afghanistan,2014-09-21,0,1,0,0,1,1,Imp,ExtSub,Multiparty signed/agreed,0,0,2014
2,Afghanistan: 2000s Post-intervention process,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),InterIntra,Afghanistan,2012-07-08,0,1,3,0,0,0,Imp,ExtSub,Multiparty signed/agreed,0,0,2012
2,Afghanistan: 2000s Post-intervention process,848,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),InterIntra,Afghanistan,2011-12-05,0,1,0,0,0,0,Pre,Prin,Multiparty signed/agreed,0,0,2011
2,Afghanistan: 2000s Post-intervention process,849,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,InterIntra,Afghanistan,2011-11-02,0,1,0,0,0,0,Imp,ExtSub,Multiparty signed/agreed,0,0,2011
2,Afghanistan: 2000s Post-intervention process,709,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),InterIntra,Afghanistan,2010-07-22,0,1,1,0,0,0,Imp,ExtSub,Multiparty signed/agreed,0,0,2010
2,Afghanistan: 2000s Post-intervention process,708,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga,Intra,Afghanistan,2010-06-06,0,1,0,0,0,1,Pre,PreMix,Multiparty signed/agreed,0,0,2010
2,Afghanistan: 2000s Post-intervention process,707,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",InterIntra,Afghanistan,2010-01-28,0,1,1,0,0,0,Imp,ExtSub,Multiparty signed/agreed,0,0,2010
2,Afghanistan: 2000s Post-intervention process,706,Statement of the International Conference on Afghanistan (Hague Conference),InterIntra,Afghanistan,2009-03-31,0,1,0,0,1,0,SubPar,MultIss,Multiparty signed/agreed,0,0,2009
2,Afghanistan: 2000s Post-intervention process,847,Declaration of the Special Conference on Afghanistan Convened under the Auspices of the Shanghai Cooperation Organization (Moscow Declaration),InterIntra,Afghanistan,2009-03-27,0,0,0,0,0,0,Imp,ExtSub,Multiparty signed/agreed,0,0,2009
2,Afghanistan: 2000s Post-intervention process,705,Declaration of the International Conference in Support of Afghanistan (Paris Conference),InterIntra,Afghanistan,2008-06-12,0,1,1,0,1,0,Imp,ExtSub,Multiparty signed/agreed,0,0,2008
2,Afghanistan: 2000s Post-intervention process,1069,Rome Conference on Justice and Rule of Law in Afghanistan,InterIntra,Afghanistan,2007-07-03,0,0,0,0,0,0,Imp,ImpMod,Multiparty signed/agreed,0,0,2007
2,Afghanistan: 2000s Post-intervention process,1061,Afghanistan Compact Building on Success (London Conference),InterIntra,Afghanistan,2006-02-01,0,1,1,0,2,0,SubPar,MultIss,Multiparty signed/agreed,0,0,2006
2,Afghanistan: 2000s Post-intervention process,1054,Berlin Declaration (Berlin Conference),InterIntra,Afghanistan,2004-04-01,0,1,0,0,1,0,Imp,ExtSub,Multiparty signed/agreed,0,0,2004
2,Afghanistan: 2000s Post-intervention process,909,Kabul Declaration of Good Neighbourly Relations,InterIntra,Afghanistan,2002-12-24,0,0,0,0,0,0,SubPar,MultIss,Multiparty signed/agreed,0,0,2002
2,Afghanistan: 2000s Post-intervention process,908,Communiqué of the International Conference on Reconstruction Assistance to Afghanistan (Tokyo Conference),InterIntra,Afghanistan,2002-01-22,0,1,0,0,0,0,Imp,ImpMod,Multiparty signed/agreed,0,0,2002
2,Afghanistan: 2000s Post-intervention process,272,Agreement on Provisional Arrangements in Afghanistan Pending the Re-establishment of Permanent Government Institutions ('Bonn Agreement'),Intra,Afghanistan,2001-12-05,0,1,0,1,3,2,SubPar,MultIss,Multiparty signed/agreed,0,0,2001
2,Afghanistan: 2000s Post-intervention process,553,Tashkent Declaration on Fundamental Principles for a Peaceful Settlement of the Conflict in Afghanistan,InterIntra,Afghanistan,1999-07-19,0,1,0,0,1,1,Pre,Proc,Multiparty signed/agreed,0,0,1999
1,Afghanistan: 1990s Taliban process,409,Afghan Peace Accord (Islamabad Accord),Intra,Afghanistan,1993-03-07,3,0,0,2,1,3,SubPar,MultIss,Multiparty signed/agreed,0,0,1993
1,Afghanistan: 1990s Taliban process,482,Peshawar Accord,Intra,Afghanistan,1992-04-24,0,0,0,0,2,3,SubPar,Iss,Multiparty signed/agreed,0,0,1992
2,Afghanistan: 2000s Post-intervention process,1070,Joint Declaration adopted by Pak-Afghan Joint Peace Jirga,InterIntra,Afghanistan/Pakistan,2007-08-12,0,0,0,0,0,0,SubPar,MultIss,Multiparty signed/agreed,0,0,2007
3,Algeria: Bouteflika Process,1595,Project de charte pour la paix et la réconciliation nationale,Intra,Algeria,2005-08-14,0,1,0,0,0,0,SubPar,MultIss,Unilateral document,0,0,2005
3,Algeria: Bouteflika Process,1738,Texts for Implementing Acts relating to the Restoration of Civil Harmony,Intra,Algeria,1999-07-20,0,0,0,0,0,0,Imp,ImpMod,Unilateral document,0,0,1999
3,Algeria: Bouteflika Process,1737,Civil Harmony Act,Intra,Algeria,1999-07-13,0,1,0,0,0,0,SubPar,Iss,Unilateral document,0,0,1999
3,Algeria: Bouteflika Process,1255,Plate-forme de l'entente nationale,Intra,Algeria,1996-09-17,0,1,2,0,1,0,SubPar,Iss,Multiparty signed/agreed,0,0,1996
3,Algeria: Bouteflika Process,1044,Plate-forme pour une solution politique et pacifique de la crise algérienne (Plate-forme de Rome),Intra,Algeria,1995-01-13,0,1,1,0,2,0,Pre,Prin,Multiparty signed/agreed,0,2,1995
3,Algeria: Bouteflika Process,484,Plate-forme portant consensus national sur la période transitoire,Intra,Algeria,1994-01-26,0,0,1,0,3,3,Pre,Prin,Multiparty signed/agreed,0,0,1994
4,Angola: UNITA process,978,Luena Memorandum of Understanding (Addendum to the Lusaka Protocol for the Cessation of Hostilities and the Resolution of the Outstanding Military Issues under the Lusaka Protocol),Intra,Angola,2002-04-04,0,1,0,3,1,0,SubPar,Iss,Multiparty signed/agreed,0,0,2002
