AgtId,Agt,PP,PPName,Agtp,Con,Dat,Eps,GeWom,HrFra,Mps,Pol,Polps,Stage,StageSub,Status,Terps,TjMech,Year,LocalLat,LocalLon,Comment,Local
250,Agreement on a Ceasefire in the Republic of Yemen,137,Yemen unification process,Intra,Yemen,1994-06-30,0,0,0,0,0,0,Cea,Ceas,Multiparty signed/agreed,0,0,1994,,,,FALSE
264,Agreement Establishing a Union between the State of the Yemen Arab Republic and the State of the People's Democratic Republic of Yemen,137,Yemen unification process,InterIntra,Yemen,1990-04-22,0,0,0,0,1,2,SubPar,Iss,Multiparty signed/agreed,0,0,1990,,,,FALSE
408,International Border Treaty between the Republic of Yemen and the Kingdom of Saudi Arabia,103,Saudi Arabia - Yemen Border process,Inter,Saudi Arabia/Yemen,2000-06-12,0,0,0,0,0,0,Imp,ExtSub,Multiparty signed/agreed,0,0,2000,,,,FALSE
535,Saudi-Yemeni Memorandum of Understanding,103,Saudi Arabia - Yemen Border process,Inter,Saudi Arabia/Yemen,1995-02-26,0,0,0,0,0,0,Imp,ExtSub,Multiparty signed/agreed,0,0,1995,,,,FALSE
758,Agreement on the Implementation Mechanism for the Transition Process in Yemen in Accordance with the Initiative of the Gulf Cooperation Council (GCC Implementation Mechanism),138,Yemen peace process,Intra,Yemen,2011-11-23,0,1,0,0,1,3,SubPar,MultIss,Multiparty signed/agreed,0,0,2011,,,,FALSE
798,The Peace and National Partnership Agreement,138,Yemen peace process,Intra,Yemen,2014-09-21,0,1,0,0,1,1,SubPar,MultIss,Multiparty signed/agreed,0,0,2014,,,,FALSE
1399,"Decree No. (184) for the year 2011, to Form a Government of National Reconciliation, 7 December 2011",138,Yemen peace process,Intra,Yemen,2011-12-07,0,0,0,0,0,3,Imp,ImpMod,Unilateral document,0,0,2011,,,,FALSE
1400,National Dialogue Conference Outcomes Document,138,Yemen peace process,Intra,Yemen,2014-01-25,3,1,3,2,1,2,SubPar,FrparOth,Multiparty signed/agreed,3,2,2014,,,,FALSE
1401,Agreement/Gulf Cooperation Council (GCC) Initiative,138,Yemen peace process,Intra,Yemen,2011-11-23,0,0,0,0,1,2,SubPar,MultIss,Multiparty signed/agreed,0,0,2011,,,,FALSE
1402,"Presidential Decree No. (24) FY 2011, 12 September 2011",138,Yemen peace process,Intra,Yemen,2011-09-12,0,0,0,0,1,0,SubPar,Iss,Unilateral document,0,0,2011,,,,FALSE
1433,Doha Agreement,138,Yemen peace process,Intra,Yemen,2008-02-01,0,0,1,0,0,0,Cea,Ceas,Multiparty signed/agreed,0,0,2008,,,,FALSE
1434,Six-Point Government of Yemen-Houthi Ceasefire Agreement,138,Yemen peace process,Intra,Yemen,2010-02-12,0,0,0,0,0,0,Cea,Ceas,Multiparty signed/agreed,0,0,2010,,,,FALSE
1508,Final Decision on the delimitation of the Federal Regions,138,Yemen peace process,Intra,Yemen,2014-02-10,1,0,0,0,0,1,Imp,ExtSub,Unilateral document,3,0,2014,,,,FALSE
1509,Decision on the President of the Republic No. (27) of 2014 forming the Constitutional Drafting Committee,138,Yemen peace process,Intra,Yemen,2014-03-08,0,0,0,0,0,0,Imp,ExtSub,Unilateral document,0,0,2014,,,,FALSE
1586,"Dhahran al-Janoub Agreements on the Cessation of Hostilities in Yemen for Shabwah, al-Dhali’, al-Baydah, al-Jawf, Ma’rib, Ta’iz and Terms and Conditions",138,Yemen peace process,Intra,Yemen,2016-04-10,0,1,1,1,0,0,Cea,Rel,Multiparty signed/agreed,0,1,2016,,,,FALSE
1597,Agreement between al-ʿAwlaqī Tribe and al-Qaeda,45,Yemen Inter-group Agreements,IntraLocal,Yemen,2014-05-02,0,0,0,0,0,0,Cea,Ceas,Multiparty signed/agreed,0,0,2014,14.530176,46.829856,The agreement refers to fighting in Shabwah governorate and mentions the district of al-Saīd which is an area inhabited by the al-‘Awlaqi tribe which is to be protected by the provisions of the agreement. The coordinates given are for Ataq city.,TRUE
1676,Agreement between the Tribes of ʿUbaydah and Ansar Allah,45,Yemen Inter-group Agreements,IntraLocal,Yemen,2014-12-04,0,0,0,0,0,0,SubPar,Iss,Multiparty signed/agreed,0,0,2014,15.470366,45.323355,This is a document which calls for the coexistence between groups in the governorate of Marib and sets out how these groups should do this for the good of the province and the wider country. The coordinates given are for Marib city the capital of the governorate.,TRUE
1734,Seven Point Peace Plan (Muscat Principles),138,Yemen peace process,Intra,Yemen,2015-10-19,0,0,0,0,1,0,Pre,Prin,Agreement with subsequent status,0,0,2015,,,,FALSE
1823,Statement on Security in Governorate of Ibb,138,Yemen peace process,IntraLocal,Yemen,2015-06-02,0,0,0,0,0,0,Pre,PreOth,Multiparty signed/agreed,0,0,2015,13.972978,44.16214,"Statement refers to overall security conditions in the governorate of Ibb, announced by religious figures. The coordinates given are for the city of Ibb.",TRUE
1824,"Ceasefire Agreement for the Governorate of al-Hajjah between Ansar Allah and the legitimate Government of Yemen, signed in Dhahran al-Janoub",138,Yemen peace process,Intra,Yemen,2016-04-02,0,0,0,0,0,0,Cea,Ceas,Multiparty signed/agreed,0,0,2016,,,,FALSE
1825,"Ceasefire Implementation Agreement for the Governorate of Hajjah, signed in Dhahran al-Janoub",138,Yemen peace process,Intra,Yemen,2016-04-04,0,0,0,0,0,0,Cea,Rel,Multiparty signed/agreed,0,0,2016,,,,FALSE
1826,Ta'iz Ceasefire Agreement,138,Yemen peace process,IntraLocal,Yemen,2016-04-16,0,0,0,0,0,0,Cea,Ceas,Multiparty signed/agreed,0,0,2016,13.576927,44.017734,This is a second ceasefire and refers this time explicitly as being for the city of Taiz and is a follow on from the first one so likely both ceasefires predominantly address issues in the city as opposed to the wider province. These coordinates are for Taiz city.,TRUE
1883,Agreement between Ansar Allah and Salafists from the al-Noor Centre,45,Yemen Inter-group Agreements,IntraLocal,Yemen,2014-06-26,0,0,1,0,0,0,Pre,Prin,Multiparty signed/agreed,0,0,2014,16.886505,43.814907,"Our notes for this describe the agreement which follows and addresses fighting in Dammaj, which is a small town in Sa’dah governorate. The coordinates given here are for Dammaj.",TRUE
1884,Peace and National Partnership Implementation Agreement,138,Yemen peace process,Intra,Yemen,2014-11-01,0,0,0,0,1,1,Imp,ExtPar,Multiparty signed/agreed,0,0,2014,,,,FALSE
2004,Ceasefire between Salafists and Houthis in Dammaj,45,Yemen Inter-group Agreements,IntraLocal,Yemen,2014-01-06,0,0,0,0,0,0,Cea,Rel,Multiparty signed/agreed,0,0,2014,16.820891,43.779756,"The agreement refers to ceasefire in a number of areas, mentioning Dammaj, Haradh, Khiwan and Danan. It appears as though it is possible that this agreement was carried out in Dammaj. Therefore, the coordinates given here are for Alkhiyam which is an area to the south of Dammaj which is located on main highways/roads which connect to both Khaiwan (Khiwan) and Harad.",TRUE
2005,Ajmar Agreement,45,Yemen Inter-group Agreements,IntraLocal,Yemen,2014-02-04,0,0,0,0,0,0,Cea,CeaMix,Multiparty signed/agreed,0,0,2014,15.664332,43.933941,"The agreement refers to solving dispute in the Amran governorate and specifically the area of Bani Sarim. The coordinates given are for ‘Amran, the capital of the governorate, as the translation does not specify that the signing took place in the capital city.",TRUE
2006,Agreement to Cease Fire between the Tihami Movement in Harah al-Yamin and Ansar Allah,45,Yemen Inter-group Agreements,IntraLocal,Yemen,2014-10-24,0,0,0,0,0,0,Cea,Ceas,Multiparty signed/agreed,0,0,2014,14.790522,42.971521,Agreement refers to cooperation with a group and the Houthis in order to protect an area in Hudaydah city. The coordinates given are for Hudaydah city.,TRUE
2007,Agreement to Solve the Problem regarding al-Ma'ashiq Palace,45,Yemen Inter-group Agreements,IntraLocal,Yemen,2016-02-29,0,0,0,2,0,0,Pre,Conf,Multiparty signed/agreed,0,0,2016,12.786182,45.017624,"All handovers and transfers, as well as the palace addressed in the agreement are in Aden. These coordinates are for the city of Aden.",TRUE
