Con,PP,PPName,Reg,AgtId,Agt,Stage,Date
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1739,Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami,SubPar,22/09/2016
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1923,Agreement between the two campaign teams regarding the structure of the national unity government,Imp,21/09/2014
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),Imp,08/07/2012
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,848,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),Pre,05/12/2011
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,849,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,Imp,02/11/2011
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,709,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),Imp,22/07/2010
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,708,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga,Pre,06/06/2010
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,707,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",Imp,28/01/2010
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,706,Statement of the International Conference on Afghanistan (Hague Conference),SubPar,31/03/2009
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,847,Declaration of the Special Conference on Afghanistan Convened under the Auspices of the Shanghai Cooperation Organization (Moscow Declaration),Imp,27/03/2009
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,705,Declaration of the International Conference in Support of Afghanistan (Paris Conference),Imp,12/06/2008
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1069,Rome Conference on Justice and Rule of Law in Afghanistan,Imp,03/07/2007
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1061,Afghanistan Compact Building on Success (London Conference),SubPar,01/02/2006
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1054,Berlin Declaration (Berlin Conference),Imp,01/04/2004
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,909,Kabul Declaration of Good Neighbourly Relations,SubPar,24/12/2002
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,908,Communiqué of the International Conference on Reconstruction Assistance to Afghanistan (Tokyo Conference),Imp,22/01/2002
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,272,Agreement on Provisional Arrangements in Afghanistan Pending the Re-establishment of Permanent Government Institutions ('Bonn Agreement'),SubPar,05/12/2001
Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,553,Tashkent Declaration on Fundamental Principles for a Peaceful Settlement of the Conflict in Afghanistan,Pre,19/07/1999
Afghanistan,1,Afghanistan: 1990s Taliban process,Europe and Eurasia,409,Afghan Peace Accord (Islamabad Accord),SubPar,07/03/1993
Afghanistan,1,Afghanistan: 1990s Taliban process,Europe and Eurasia,482,Peshawar Accord,SubPar,24/04/1992
Afghanistan/Pakistan,2,Afghanistan: 2000s Post-intervention process,Cross-regional,1070,Joint Declaration adopted by Pak-Afghan Joint Peace Jirga,SubPar,12/08/2007
Algeria,3,Algeria: Bouteflika Process,Middle East and North Africa,1595,Project de charte pour la paix et la réconciliation nationale,SubPar,14/08/2005
Algeria,3,Algeria: Bouteflika Process,Middle East and North Africa,1738,Texts for Implementing Acts relating to the Restoration of Civil Harmony,Imp,20/07/1999
Algeria,3,Algeria: Bouteflika Process,Middle East and North Africa,1737,Civil Harmony Act,SubPar,13/07/1999
Algeria,3,Algeria: Bouteflika Process,Middle East and North Africa,1255,Plate-forme de l'entente nationale,SubPar,17/09/1996
Algeria,3,Algeria: Bouteflika Process,Middle East and North Africa,1044,Plate-forme pour une solution politique et pacifique de la crise algérienne (Plate-forme de Rome),Pre,13/01/1995
Algeria,3,Algeria: Bouteflika Process,Middle East and North Africa,484,Plate-forme portant consensus national sur la période transitoire,Pre,26/01/1994
Angola,4,Angola: UNITA process,Africa (excl MENA),978,Luena Memorandum of Understanding (Addendum to the Lusaka Protocol for the Cessation of Hostilities and the Resolution of the Outstanding Military Issues under the Lusaka Protocol),SubPar,04/04/2002
Angola,4,Angola: UNITA process,Africa (excl MENA),305,Angolan Government's Peace Plan,Imp,13/03/2002
Angola,4,Angola: UNITA process,Africa (excl MENA),299,Agreement signed by the Government of the Republic of Angola and UNITA Renovada on 18 February 1999(Annex II to Agreement signed by the Government of the Republic of Angola and UNITA Renovada (Luanda Protocol)),Imp,18/02/1999
Angola,4,Angola: UNITA process,Africa (excl MENA),300,Agreement with UNITA-Renovada Updating the Lusaka Protocol Concerning the Appointment of UNITA Cadres to Government Positions (Annex III to Agreement signed by the Government of the Republic of Angola and UNITA Renovada (Luanda Protocol)),Pre,18/02/1999
Angola,4,Angola: UNITA process,Africa (excl MENA),301,Agreement with UNITA-Renovada Updating the Lusaka Protocol Concerning the Reinstatement of Government Administration over the National Territory (Luanda Protocol),Pre,18/02/1999
Angola,4,Angola: UNITA process,Africa (excl MENA),1,"Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998",Imp,09/01/1998
Angola,4,Angola: UNITA process,Africa (excl MENA),439,Lusaka Protocol,SubComp,15/11/1994
Angola,4,Angola: UNITA process,Africa (excl MENA),1318,Concepts for Resolving the Issues Still Pending between the Government of the People's Republic of Angola and UNITA (Bicesse Accords),SubPar,31/05/1993
Angola,4,Angola: UNITA process,Africa (excl MENA),207,"Peace Accords for Angola, Lisbon ('Bicesse Accords')",SubPar,31/05/1991
Angola,4,Angola: UNITA process,Africa (excl MENA),1316,Ceasefire Agreement (Bicesse Accords),Cea,31/05/1991
Angola,4,Angola: UNITA process,Africa (excl MENA),1319,The Protocol of Estoril (Bicesse Accords),SubPar,31/05/1991
Angola,4,Angola: UNITA process,Africa (excl MENA),1317,Fundamental principles for the establishment of Peace in Angola (Bicesse Accords),Cea,31/05/1991
