Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Headline Arabic,Text,Text Arabic,Agreement/Event,Stage
,,,,,,,,,,,,,,
,,,,,,,,,PA-X: Yemen agreements and conflict events,,,,,
,,,,,,,,,,,,,,
1990,4,22,,1990,4,22,,,Merger of North-South Yemen,اندماج اليمن شماﻻ وجنوبا ,"North and South Yemen merge to form the Yemen Arab Republic. The General People's Congress led by President Ali Abdullah Saleh in the north, and the Yemeni Socialist Party led by Ali Salim al-Beidh in the South, agree to share power https://www.peaceagreements.org/masterdocument/264","دمج شمال اليمن وجنوبه لتشكيل الجمهورية اليمنية. وافق المؤتمر الشعبي العام بقيادة الرئيس علي عبد الله صالح في الشمال والحزب الاشتراكي اليمني برئاسة علي سالم البيض في الجنوب على المشاركة في السلطةhttps://www.peaceagreements.org/masterdocument/264",Event,
,,,,,,,,,,,,,,
1990,4,22,,1990,4,22,,,Agreement Establishing a Union between the State of the Yemen Arab Republic and the State of the People's Democratic Republic of Yemen,اتفاقية الوحدة بين دولة الجمهورية العربية اليمنية ودولة جمهورية اليمن الديمقراطية الشعبية,English: https://www.peaceagreements.org/masterdocument/264,"باللغة الإنجليزية:https://www.peaceagreements.org/masterdocument/264",Agreement,Substantive-Partial
,,,,,,,,,,,,,,
1990,9,1,,1990,9,1,,,Creation of 'Islah' Party,إنشاء حزب الإصلاح,"September: The Islah 'Islamist Reform' Party is founded by a loose coalition of northern Islamist and tribal elites and support from Saudi Arabia. The party consists of three wings related to elements from the Muslim Brotherhood, the Hashid Tribal Federation and Salafi community.",سبتمبر: تم تأسيس حزب التجمع اليمني للإصلاح وهو مكون من ائتلاف واسع من النخب الإسلامية الشمالية ونخب من القبائل بدعم من المملكة العربية السعودية. يتألف الحزب من ثلاثة أجنحة وهي عناصر من الإخوان المسلمين وقبائل حاشد والسلفيين.,Event,
,,,,,,,,,,,,,,
1993,4,23,,1993,4,23,,,First executive and legislative elections in unified Yemen,أول انتخابات تنفيذية وتشريعية في اليمن الموحد,"Yemen hold elections for government won by the GPC and Islah which form a ruling coalition. The results disrupt the previous 50-50 representational split between the North and South. Ali Abdullah Saleh become President, Ali Salim al-Beidh is designated Vice President and Islah's Abdullah bin Hussayn al-Ahmar becomes Speaker of the Parliament.",جرت في اليمن انتخابات تشريعية فاز بها المؤتمر الشعبي العام والإصلاح واللذين قاما بتشكيل ائتلافاً حاكماً. عطل نتائج التقسيم السابق الذي اعطى 50% للشمال و50% للجنوب. علي عبد الله صالح أصبح رئيساً وعين علي سالم البيض نائباً للرئيس وأصبح عبد الله بن حسين الأحمر رئيساً لمجلس النواب.,Event,
,,,,,,,,,,,,,,
1993,8,1,,1993,8,1,,,"Vice President al-Beidh leaves the capital, Sanaa, in protest",نائب الرئيس البيض ينسحب من العاصمة صنعاء احتجاجا,August: al-Beidh withdraws to Aden protesting political marginalization and violence by northerners directed towards the YSP.,أغسطس: انسحاب البيض إلى عدن احتجاجًا على التهميش السياسي والعنف من قبل الشماليين ضد الحزب الاشتراكي اليمني.,Event,
,,,,,,,,,,,,,,
1994,4,27,,1994,4,27,,,North-south civil war begins,تبدأ الحرب الأهلية بين الشمال والجنوب,"A tank battle breaks out in Amran, north of the capital Sanaa, marking the beginning of the 1994 civil war. President Ali Abdullah Saleh declares a state of emergency.","معركة دبابات تندلع في عمران، شمال العاصمة صنعاء، وتبدأ الحرب الأهلية عام 1994. يعلن الرئيس علي عبد الله صالح حالة الطوارئ.",Event,
,,,,,,,,,,,,,,
1994,5,21,,1994,5,21,,,YSP officials declare the secession of the South,مسؤولون في الحزب الاشتراكي اليمني يعلنون انفصال الجنوب,The Democratic Republic of Yemen was not recognized by any other government. Southerners are supported by Saudi Arabia which deemed a united Yemen as a threat.,لم تعترف أي دولة اخرى بجمهورية اليمن الديمقراطية وقامت المملكة العربية السعودية التي تعتبر اليمن الموحد تهديدا بدعم الجنوبيين,Event,
,,,,,,,,,,,,,,
1994,6,30,,1994,6,30,,,Agreement on a Ceasefire in the Republic of Yemen,اتفاق لوقف إطلاق النار في الجمهورية اليمنية,English:  https://www.peaceagreements.org/masterdocument/250,"باللغة الإنجليزية:https://www.peaceagreements.org/masterdocument/250",Agreement,Ceasefire
,,,,,,,,,,,,,,
1994,7,7,,1994,7,7,,,Aden Captured,الاستيلاء على عدن,"Aden is captured and a ceasefire negotiated ending the North-South Yemeni civil war. In its aftermath, the victors rewards loyalists with land and jobs resulting in the disenfranchisement of Southern civil and military officials. https://www.peaceagreements.org/masterdocument/250","تم الاستيلاء على عدن والتفاوض لوقف إطلاق النار من أجل إنهاء الحرب الأهلية بين الشمال والجنوب. وفي أعقاب ذلك، يكافئ المنتصرون الموالين لهم بالأرض والوظائف مما يؤدي إلى حرمان المسؤولين المدنيين والعسكريين الجنوبيين من حقوقهم. https://www.peaceagreements.org/masterdocument/250",Event,
,,,,,,,,,,,,,,
2000,6,12,,2000,6,12,,,Yemen and Saudi Arabia sign border agreement,اليمن والسعودية يوقعان اتفاقية للحدود,The agreement resolves the border issue https://www.peaceagreements.org/masterdocument/408,تحل الاتفاقية قضية الحدود https://www.peaceagreements.org/masterdocument/408,Agreement,Implementation
,,,,,,,,,,,,,,
2000,10,4,,2000,10,4,,,Bombing of USS Cole,قصف السفينة الحربية الأمريكية كول,"A US warship, the USS Cole, is attacked by AQAP in Aden, killing 17 US personnel.","تحل الاتفاقية قضية الحدود https://www.peaceagreements.org/masterdocument/408",Event,
,,,,,,,,,,,,,,
2001,2,1,,2001,2,1,,,Violence breaks out before referendum vote,ينفجر العنف قبل التصويت على الاستفتاء,February 2001: Violence breaks out before a referendum and municipal polls extending the term and powers of the presidential office.,فبراير 2001: اندلعت أعمال العنف قبل إجراء الاستفتاء والاستطلاعات البلدية لتمديد فترة وصلاحيات مكتب الرئاسة.,Event,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2010,2,12,,2010,2,12,,,Six-Point Government of Yemen-Houthi Ceasefire Agreement,اتفاق من ست نقاط لوقف إطلاق النار بين الحكومة اليمنية والحوثي,English:  https://www.peaceagreements.org/masterdocument/1434,"باللغة الإنجليزية:https://www.peaceagreements.org/masterdocument/1434",Agreement,Ceasefire
,,,,,,,,,,,,,,
2004,6,1,,2004,9,30,,,First round of Houthi conflict,الجولة الأولى من الصراع الحوثي,"June- September 2004: A police operation by the Yemeni government against Hussayn al-Houthi, a former Member of Parliament and a Zaydi youth activist, ignites the first round of fighting between the government and what becomes known as the Houthi movement. On September 10, Hussayn al-Houthi is killed. His father, Badr al-Din al-Houthi takes over as head of the Houthi movement.","يونيو - سبتمبر 2004: عملية أمنية للحكومة اليمنية ضد حسين الحوثي، عضو سابق في البرلمان وناشط شبابي الزيدي، يشعل الجولة الأولى من القتال بين الحكومة وما يعرف باسم حركة الحوثي. في 10 سبتمبر، قتل حسين الحوثي وتولى والده بدر الدين الحوثي رئاسة الحركة الحوثية.",Event,
,,,,,,,,,,,,,,
2005,1,1,,2005,1,1,,,Creation of the JMP,إنشاء أحزاب اللقاء المشترك,"2005: The Joint Meeting Parties (JMP) is established as a coalition opposition group to the GPC. The largest member of the JMP was Islah, followed by the YSP, and Popular Force, the Nasserist party, and al-Haqq (a Zaydi party).","2005: تم تأسيس أطراف اللقاء المشترك كمجموعة ائتلافية معارضة للمؤتمر الشعبي العام. أكبر عضو في أحزاب اللقاء المشترك هو الإصلاح ويليه الحزب الاشتراكي اليمني، والقوى الشعبية والحزب الناصري وحزب الحق (حزب زيدي).",Event,
,,,,,,,,,,,,,,
2005,3,1,,2005,6,23,,,Second round of Houthi conflict,الجولة الثانية من الصراع الحوثي,"March-June 23, 2005: Second round of fighting breaks out between the Houthis and Yemeni government in which more than 200 are killed. Fighting ended after tribal mediators negotiated a deal.",مارس - 23 يونيو 2005: تفجرت الجولة الثانية من القتال بين الحوثيين والحكومة اليمنية حيث قتل أكثر من 200 شخص. انتهى القتال بعد أن تفاوض وسطاء قبليون على اتفاق.,Event,
,,,,,,,,,,,,,,
2005,11,1,,2006,3,31,,,Third round of Houthi conflict,الجولة الثالثة من الصراع الحوثي,November 2005-March 2006: Third round of conflict breaks out between the Houthis and opposing tribes.,نوفمبر 2005 - مارس 2006: اندلاع الجولة الثالثة من النزاع بين الحوثيين والقبائل المعارضة.,Event,
,,,,,,,,,,,,,,
2007,1,28,,2007,6,16,,,Fourth round of Houthi conflict begins ,الجولة الرابعة من صراع الحوثي ,"January 28-June 16, 2007: Fourth round of conflict erupts after Houthi fighters attack Yemeni government outposts. ","28 يناير - 16 يونيو 2007: اندلاع الجولة الرابعة من النزاع بعد أن هاجم المقاتلون الحوثيون على نقاط للحكومة اليمنية.https://www.peaceagreements.org/masterdocument/1433",Event,
,,,,,,,,,,,,,,
2007,5,1,,2007,5,1,,,Protests in South Yemen mark emergence of Southern Movement,الاحتجاجات في الجنوب تمثل ظهور الحركة الجنوبية,"May 2007: Former-Southern military and civil officials fired in the aftermath of the 1994 civil war protest their lack of employment, Southern political marginalization and other injustices. Heavy-handedness by security forces burgeons support for the protestors and consolidates what will eventually become the Southern Movement.",مايو 2007: مسؤولون عسكريون ومدنيون سابقون في الجنوب سرحوا في أعقاب الحرب الأهلية عام 1994 احتجوا على تسريحهم والتهميش السياسي للجنوب وغير ذلك من المظالم.  الرد القاسي من قبل قوات الأمن زاد الدعم للمتظاهرين وعزز ما سيصبح الحراك الجنوبي.,Event,
,,,,,,,,,,,,,,
2008,2,1,,2008,2,1,,,Houthi conflict end with the Doha Agreement,تنتهي صراع الحوثي باتفاقية الدوحة,"Qatar mediates a ceasefire and Houthi leaders go into exile. English: https://www.peaceagreements.org/masterdocument/1433","توسطت قطر لوقف إطلاق النار ويذهب زعماء الحوثي إلى المنفىباللغة الإنجليزية:https://www.peaceagreements.org/masterdocument/1433",Agreement,Ceasefire
,,,,,,,,,,,,,,
2008,4,29,,2008,7,17,,,Fifth round of Houthi conflict,الجولة الخامسة من صراع الحوثي,"April 29-July 17, 2008: The fifth round of fighting between the Houthis and the Yemeni government in Sadaa begins.",من 29 أبريل إلى 17 يوليو 2008: بدء الجولة الخامسة من القتال في صعدة بين الحوثيين والحكومة اليمنية. ,Event,
,,,,,,,,,,,,,,
2009,8,1,,2009,8,1,,,Sixth round of Houthi conflict,الجولة السادسة من الصراع الحوثي,"August 2009-February 2010: The Yemeni government launches an offensive against the Houthis, displacing tens of thousands. Saudi Arabia and the US intervene against the Houthis, and fighting spreads across the Saudi border.","أغسطس 2009 – فبراير 2010: شنت الحكومة اليمنية هجوماً ضد الحوثيين، مما أدى إلى تشريد عشرات الآلاف. تتدخل المملكة العربية السعودية والولايات المتحدة ضد الحوثيين، وينتشر القتال عبر الحدود مع السعودية.",Event,
,,,,,,,,,,,,,,
2010,7,1,,2010,7,1,,,Continuation of violence in Sadaa and surrounding governorates,استمرار العنف في صعدة والمحافظات المحيطة بها,July 2010: Clashes occur between the Houthis and tribes in Sufyan which continue into November.,يوليو 2010: تقع اشتباكات بين الحوثيين والقبائل في حرف سفيان تستمر حتى شهر نوفمبر.,Event,
,,,,,,,,,,,,,,
2011,1,1,,2011,2,1,,,Protests break out against President Saleh,الاحتجاجات تندلع ضد الرئيس صالح,"January-February: Protests break out against the long-term rule of President Saleh. Protestors include unemployed youth, opposition parties (particularly Islah) as well as regional actors such as the Houthis and the Southern Movement.",فبراير: الاحتجاجات تندلع ضد الحكم الطويل للرئيس صالح. ومن بين المتظاهرين الشباب العاطل عن العمل وأحزاب المعارضة (ولا سيما الإصلاح) وكذلك الجهات الفاعلة المحلية مثل الحوثيين والحراك الجنوبي.,Event,
,,,,,,,,,,,,,,
