,AgtId,Con,PeaceProcess,Year
447,547,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
835,1022,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
959,1164,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
960,1165,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
961,1166,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
962,1167,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
963,1169,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
964,1170,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
965,1171,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1053,1295,Croatia/Yugoslavia (former),Bosnia peace process,1992
1179,1459,Croatia/Yugoslavia (former),Bosnia peace process,1992
1186,1469,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1187,1470,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1189,1473,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1190,1474,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1191,1475,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1192,1476,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1193,1477,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1194,1478,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1195,1479,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1251,1567,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1254,1570,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1267,1587,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1268,1588,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1269,1589,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1270,1590,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1271,1591,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1279,1607,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1281,1609,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1282,1610,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1283,1611,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1285,1613,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1286,1615,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1287,1616,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
1473,1846,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1992
383,472,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
499,606,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
839,1027,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
966,1172,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
968,1177,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
971,1182,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
985,1202,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1196,1482,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1197,1483,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1198,1484,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1199,1485,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1200,1486,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1201,1490,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1203,1494,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1288,1617,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1289,1618,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1290,1619,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1291,1620,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1292,1621,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1293,1622,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1295,1624,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1296,1625,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1297,1626,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1298,1627,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1299,1628,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1300,1630,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1474,1847,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1475,1848,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1476,1849,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1491,1869,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1493,1871,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1498,1876,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
1499,1877,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1993
501,608,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
744,915,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
745,916,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
969,1179,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
982,1198,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1002,1226,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1204,1497,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1205,1499,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1206,1500,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1207,1501,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1208,1503,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1209,1504,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1275,1598,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1301,1632,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1302,1633,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1303,1636,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1304,1637,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1477,1850,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1494,1872,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1495,1873,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1500,1878,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1994
1,2,Bosnia and Herzegovina/Yugoslavia (former),Bosnia peace process,1995
