,Unnamed: 0,AgtId,Con,Contp,Reg,Agt,Dat,Day,Month,Year,Status,Lgt,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeSo,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsOth,Mps,MpsMe,MpsJt,MpsOth,HrGen,EqGen,HrDem,Prot,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc,PeaceProcess,PeaceProcessN,UCDPc_code_old,conflict_id,In_other_UCDP,PAID_UCDP,PAM_ID,Date,Year.1,inclusion1,inclusion2,inclusion3,HumRiFrameALL,HumRiCivPolALL,HumRiSocEconALL,humanrightsALL,SecurityALL,Y-10,Y+10,Y-1,Y-2,Y-5,Y+1,Y+2,Y+5,IsLocationProvisional,Location1,IsGWNOprovisional,GWNO,ISONUM,ConShort,ISO3,Location2,GWNO2,ISONUM2,ConShort2,ISO3_2,WarNumCoW,WarNameCoW,yr,anypowersharing,anypowersharing_binom,Amnesty,TJ_bin,politicalps,territorialps,economicps,militaryps,womenandps,TJmechanism,Drugs,Corruption,Crime_Org_Crime
4,5,5,Kosovo/Serbia/Yugoslavia (former),Government/territory,Europe and Eurasia,UN Security Council Resolution 1244,10/06/1999,10,6,1999,Unilateral document,8,InterIntra,SubPar,Iss,"The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,"Page 1, Untitled preamble
...Recalling its resolutions 1160 (1998) of 31 March 1998, 1199 (1998) of 23 September 1998, 1203 (1998) of 24 October 1998 and 1239 (1999) of 14 May 1999...

Page 1-2, Untitled preamble
...Welcoming the general principles on a political solution to the Kosovo crisis adopted on 6 May 1999 (S/1999/516, annex 1 to this resolution) and welcoming also the acceptance by the Federal Republic of Yugoslavia of the principles set forth in points 1 to 9 of the paper presented in Belgrade on 2 June 1999 (S/1999/649, annex 2 to this resolution), and the Federal Republic of Yugoslavia’s agreement to that paper...

Page 3, 11.
Decides that the main responsibilities of the international civil presence will include:
(a) Promoting the establishment, pending a final settlement, of substantial autonomy and self-government in Kosovo, taking full account of annex 2 and of the Rambouillet accords (S/1999/648);...(e) Facilitating a political process designed to determine Kosovo’s future status, taking into account the Rambouillet accords (S/1999/648);

Page 5, Annex 1, Statement by the Chairman on the conclusion of the meeting of the G-8 Foreign Ministers held at the Petersberg Centre on 6 May 1999
The G-8 Foreign Ministers adopted the following general principles on the political solution to the Kosovo crisis:...A political process towards the establishment of an interim political framework agreement providing for a substantial self-government for Kosovo, taking full account of the Rambouillet accords and the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and the other countries of the region, and the demilitarization of the KLA;

Page 6-7, Annex 2, 8.
Agreement should be reached on the following principles to move towards a resolution of the Kosovo crisis: A political process towards the establishment of an interim political framework agreement providing for substantial self-government for Kosovo, taking full account of the Rambouillet accords and the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and the other countries of the region, and the demilitarization of UCK. Negotiations between the parties for a settlement should not delay or disrupt the establishment of democratic self-governing institutions.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Kosovo process,149,218.0,412.0,,,,10/06/1999,1999,3,3,5,1,0,0,3,7,1989.0,2009.0,1998.0,1997.0,1994.0,2000.0,2001.0,2004.0,1.0,Yugoslavia,1.0,345.0,,YUG,,,,,,,,,1999,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,6,Kosovo/Serbia/Yugoslavia (former),Government/territory,Europe and Eurasia,Kosovo Peace Plan,03/06/1999,3,6,1999,Unilateral document,2,Intra,Pre,Prin,"Copy of agreement unsigned, party believed to be: Slobodan Milosevic, President of Federal Republic of Yugoslavia",Agreement negotiated by European Union envoy Martti Ahtisaari and Russian envoy Viktor Chernomyrdin,"Page 1, 8.
In order to move forward toward solving the Kosovo crisis, an agreement should be reached on the following principles: Political process directed at reaching interim political agreement which would secure essential autonomy for Kosovo, with full taking into consideration of the Rambouillet agreement, the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and other states in the region as well as demilitarization of the Kosovo Liberation Army...

Page 2, 10.
In order to move forward toward solving the Kosovo crisis, an agreement should be reached on the following principles: The end of military activities will depend on acceptance of the listed principles and simultaneous agreement with other previously identified elements which are identified in the footnote below. Then a military-technical agreement will be agreed which will among other things specify additional modalities, including the role and function of the Yugoslav, i.e. Serb, personnel in Kosovo.

Page 2, Footnote.
Other required elements: Fast and precise timetable for the withdrawal which means for instance:...Discussion about the military-technical agreement and its reaching will not prolong the agreed period for the withdrawal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Kosovo process,149,218.0,412.0,,3450000000000.0,,03/06/1999,1999,1,1,2,1,0,0,2,4,1989.0,2009.0,1998.0,1997.0,1994.0,2000.0,2001.0,2004.0,1.0,Yugoslavia,1.0,345.0,,YUG,,,,,,,,,1999,3,1,0,0,0,1,0,0,0,0,0,0,0
8,9,10,Georgia/Russia/Abkhazia,Government/territory,Europe and Eurasia,Final Document of the Moscow Meeting (Moscow Ceasefire),03/09/1992,3,9,1992,Multiparty signed/agreed,3,Intra,Cea,Ceas,"Signatories: FOR THE RUSSIAN FEDERATION;
G. s. Khizha
A. v. Kozyrev
P. s.Grachev
A. M. Mirzabekov
M. M. Magomedov
B.M. Kokov
K. M. Karmokov
v.N. Saveliev
v. I. Khubiev
s. v. Khetagurov
A. K. Galazov
A. A.Dzharimov

FOR THE REPUBLIC OF GEORGIA
T. I.Siqua
T. K. Kitovani
A.D. Chikvaidze
A. K. Tleuzh
v. N.Diakonov
E. s.Kuznetsov
v. F. Choub

Abkhazia [although not recognized as such in agreement]
v. G. Ardzinba
v. I. Zarandia
T.Nadareishvili","Preamble notes participation of leaders of Abkhazia and the North Caucasian republics, territories and regions of the Russian Federation",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Abkhazia peace process,48,197.0,392.0,,,,03/09/1992,1992,5,5,6,2,1,0,4,6,1982.0,2002.0,1991.0,1990.0,1987.0,1993.0,1994.0,1997.0,1.0,Georgia,1.0,372.0,268.0,GRG,GEO,Russia,365.0,643.0,RUS,RUS,882.0,Abkhazia Revolt,1992,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,18,Georgia/Abkhazia,Government/territory,Europe and Eurasia,"Decision of 28 April 1998 on additional measures for the settlement of the conflict in Abkhazia, Georgia, The Council of Heads of State of the Commonwealth of Independent State",28/04/1998,28,4,1998,Multiparty signed/agreed,4,Intra,SubPar,Iss,"CIS states:
For the Republic of Armenia - R. KOCHARYAN
For the Republic of Moldova [unsigned]
For the Azerbaijani Republic - G. ALIYEV
For the Russian Federation - B. YELTSIN
For the Republic of Belarus   [unsigned]
For the Republic of Tajikistan  [unsigned]
For Georgia - E. SHEVARDNADZE
For Turkmenistan [unsigned]
For the Republic of Kazakhstan - N . NAZARBAEV
For Ukraine - [unsigned]
For the Kyrgyz Republic - A. AKAEV
For the Republic of Uzbekistan -  I. KARIMOV",,"memorandum on the maintenance of peace and stability in the Commonwealth of Independent States (Almaty, 10 February 1995) and the statement by the Council of Heads of State of the Commonwealth (Minsk, 26 May 1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Abkhazia peace process,48,197.0,392.0,,,,28/04/1998,1998,3,3,4,1,0,0,1,0,1988.0,2008.0,1997.0,1996.0,1993.0,1999.0,2000.0,2003.0,1.0,Georgia,1.0,372.0,268.0,GRG,GEO,,,,,,882.0,Abkhazia Revolt,1998,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,30,India/Bodoland,Government/territory,Asia and Pacific,Memorandum of Settlement ('Bodo Accord'),20/02/1993,20,2,1993,Multiparty signed/agreed,6,Intra,Imp,ImpMod,"S.K.Bwiswamutiary President, ABSU;
Rabi Ram Brahma General Secretary, ABSU;
Subhash Basumatari Chairman, BPAC;
K.S. RAO, Add. Chief Secretary to the Government of Assam;","In the presence of: Rajesh Pilot, Minister or State (Internal Security) Ministry of Home Affairs, Government of India;
Hiteswar Saikia Chief Minister of Assam State Govt. of Assam;",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,1,0,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,1,0,3,0,1,1,1,1,0,1,0,0,3,0,0,1,1,2,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Bodoland peace process,56,227.0,421.0,,7500000000000.0,27.0,20/02/1993,1993,9,9,11,0,0,0,0,7,1983.0,2003.0,1992.0,1991.0,1988.0,1994.0,1995.0,1998.0,1.0,India,1.0,750.0,356.0,IND,IND,,,,,,,,1993,10,1,1,0,1,1,1,1,0,0,0,0,0
26,27,33,Israel/(Palestine),Government,Middle East and North Africa,Letter of Invitation to Madrid Peace Conference,30/10/1991,30,10,1991,Multiparty signed/agreed,7,InterIntra,Pre,Proc,"Israel, Syria, Lebanon, Jordan, Palestine Liberation Organisation","US, Soviet Union",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Israel-Palestine peace process,69,37.0,234.0,,,,30/10/1991,1991,1,1,3,1,0,0,1,1,1981.0,2001.0,1990.0,1989.0,1986.0,1992.0,1993.0,1996.0,1.0,Israel,1.0,666.0,376.0,ISR,ISR,,,,,,,,1991,1,1,0,0,0,1,0,0,0,0,0,0,0
29,30,36,Israel/Palestine,Government/territory,Middle East and North Africa,Protocol on Economic Relations,29/04/1994,29,4,1994,Multiparty signed/agreed,24,Intra,Pre,Prin,"Israel, PLO","Agmt annex to Gaza-Jericho Agmt which was 'Witnessed By': The United States of America,
The Russian Federation,
The Arab Republic of Egypt","Declaration of Principles on Interim Self Government Arrangements signed in Washington D.C. on September 13, 1993 and the Agreed Minutes thereto;",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Israel-Palestine peace process,69,37.0,234.0,,,,29/04/1994,1994,3,4,7,1,0,1,2,1,1984.0,2004.0,1993.0,1992.0,1989.0,1995.0,1996.0,1999.0,0.0,Israel,0.0,666.0,376.0,ISR,ISR,,,,,,,,1994,6,1,0,0,0,1,1,0,1,0,1,0,1
34,35,42,Moldova/Russia/(Transdniestria),Government/territory,Europe and Eurasia,Agreement between the Russian Federation and the Republic of Moldova on Matters Related to Jurisdiction and Mutual Legal Assistance on Issues Regarding the Russian Federation Military Formations Temporarily Situated in the Territory of the Republic of Moldova (Agreed in Moscow 21.10.1994),21/10/1994,21,10,1994,Multiparty signed/agreed,7,InterIntra,SubPar,Iss,"Government of the Russian Federation;
Government of the Republic of Moldova;",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,Transdniestria process,83,199.0,394.0,,,,21/10/1994,1994,0,0,3,1,0,0,1,3,1981.0,2001.0,1990.0,1989.0,1986.0,1992.0,1993.0,1996.0,0.0,Moldova,0.0,359.0,498.0,MLD,MDA,Russia,365.0,643.0,RUS,RUS,873.0,Dniestrian Independence War,1994,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,43,Moldova/Russia/(Transdniestria),Government/territory,Europe and Eurasia,Joint Statement of the Presidents of the Russian Federation and Ukraine in Connection with the Signing of the Memorandum on the Bases for Normalization of Relations between the Republic of Moldova and Transdniestria,08/05/1997,8,5,1997,Multiparty signed/agreed,1,InterIntra,Pre,PreMix,"Boris Yeltsin, Russian Federation, Leonid Kuchma, Ukraine",participation of OSCE Chairman-In-Office,"decision of the OSCE, the Joint Declaration of 19 January 1996 of the President of the Russian Federation, Ukraine, and the Republic of Moldova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Transdniestria process,83,199.0,394.0,,,,08/05/1997,1997,0,0,3,1,0,0,1,0,1987.0,2007.0,1996.0,1995.0,1992.0,1998.0,1999.0,2002.0,0.0,Moldova,0.0,359.0,498.0,MLD,MDA,Russia,365.0,643.0,RUS,RUS,873.0,Dniestrian Independence War,1997,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,77,Bosnia and Herzegovina/Yugoslavia (former),Government/territory,Europe and Eurasia,Agreed Basic Principles signed on 8 September 1995 at Geneva,08/09/1995,8,9,1995,Multiparty signed/agreed,2,Intra,Pre,Prin,"H.E. Mr. Muhamed Sacirbey, Foreign Minister of the Republic of Bosnia and Herzegovina (Bosnia and Herzegovina); H.E. Mr. Mate Granic, Foreign Minister of the Republic of Croatia (Croatia); and H.E. Mr. Milan Milutinovic, Foreign Minister of the Federal Republic of Yugoslavia (Yugoslavia)","Witnessed by: representatives of France, Germany, the Russian Federation, the United Kingdom of Great Britain and Northern Ireland and the United States of America, and by the European Union Special Negotiator for the Former Yugoslavia","Page 1, 2.
Bosnia and Herzegovina will consist of two entities, the Federation of Bosnia and Herzegovina as established by the Washington Agreements, and the Republica Srpska (RS).

Page 1, 2.1
The 51:49 parameter of the territorial proposal of the Contact Group is the basis for a settlement. This territorial proposal is open for adjustment by mutual agreement.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bosnia peace process,140,194.0,389.0,,,,08/09/1995,1995,2,2,6,1,0,0,3,0,1985.0,2005.0,1994.0,1993.0,1990.0,1996.0,1997.0,2000.0,0.0,Bosnia-Herzegovina,0.0,346.0,70.0,BOS,BIH,Yugoslavia,345.0,,YUG,,215.0,War of Bosnian Independence,1995,2,1,0,0,0,1,0,0,0,0,0,0,0
