,Unnamed: 0,AgtId,Con,Contp,Reg,Agt,Dat,Day,Month,Year,Status,Lgt,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeSo,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsOth,Mps,MpsMe,MpsJt,MpsOth,HrGen,EqGen,HrDem,Prot,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc,PeaceProcess,PeaceProcessN,UCDPc_code_old,conflict_id,In_other_UCDP,PAID_UCDP,PAM_ID,Date,Year.1,inclusion1,inclusion2,inclusion3,HumRiFrameALL,HumRiCivPolALL,HumRiSocEconALL,humanrightsALL,SecurityALL,Y-10,Y+10,Y-1,Y-2,Y-5,Y+1,Y+2,Y+5,IsLocationProvisional,Location1,IsGWNOprovisional,GWNO,ISONUM,ConShort,ISO3,Location2,GWNO2,ISONUM2,ConShort2,ISO3_2,WarNumCoW,WarNameCoW,yr,anypowersharing,anypowersharing_binom,Amnesty,TJ_bin,politicalps,territorialps,economicps,militaryps,womenandps,TJmechanism,Drugs,Corruption,Crime_Org_Crime
4,5,5,Kosovo/Serbia/Yugoslavia (former),Government/territory,Europe and Eurasia,UN Security Council Resolution 1244,10/06/1999,10,6,1999,Unilateral document,8,InterIntra,SubPar,Iss,"The United Nations Security Council (Members at the time: United States of America, Russia, China, United Kingdom, France, Gabon, Gambia, Bahrain, Brazil, Slovenia, Namibia  Malaysia, Argentina, Canada, Netherlands)",,"Page 1, Untitled preamble
...Recalling its resolutions 1160 (1998) of 31 March 1998, 1199 (1998) of 23 September 1998, 1203 (1998) of 24 October 1998 and 1239 (1999) of 14 May 1999...

Page 1-2, Untitled preamble
...Welcoming the general principles on a political solution to the Kosovo crisis adopted on 6 May 1999 (S/1999/516, annex 1 to this resolution) and welcoming also the acceptance by the Federal Republic of Yugoslavia of the principles set forth in points 1 to 9 of the paper presented in Belgrade on 2 June 1999 (S/1999/649, annex 2 to this resolution), and the Federal Republic of Yugoslavia’s agreement to that paper...

Page 3, 11.
Decides that the main responsibilities of the international civil presence will include:
(a) Promoting the establishment, pending a final settlement, of substantial autonomy and self-government in Kosovo, taking full account of annex 2 and of the Rambouillet accords (S/1999/648);...(e) Facilitating a political process designed to determine Kosovo’s future status, taking into account the Rambouillet accords (S/1999/648);

Page 5, Annex 1, Statement by the Chairman on the conclusion of the meeting of the G-8 Foreign Ministers held at the Petersberg Centre on 6 May 1999
The G-8 Foreign Ministers adopted the following general principles on the political solution to the Kosovo crisis:...A political process towards the establishment of an interim political framework agreement providing for a substantial self-government for Kosovo, taking full account of the Rambouillet accords and the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and the other countries of the region, and the demilitarization of the KLA;

Page 6-7, Annex 2, 8.
Agreement should be reached on the following principles to move towards a resolution of the Kosovo crisis: A political process towards the establishment of an interim political framework agreement providing for substantial self-government for Kosovo, taking full account of the Rambouillet accords and the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and the other countries of the region, and the demilitarization of UCK. Negotiations between the parties for a settlement should not delay or disrupt the establishment of democratic self-governing institutions.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Kosovo process,149,218.0,412.0,,,,10/06/1999,1999,3,3,5,1,0,0,3,7,1989.0,2009.0,1998.0,1997.0,1994.0,2000.0,2001.0,2004.0,1.0,Yugoslavia,1.0,345.0,,YUG,,,,,,,,,1999,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,8,Gabon,Government,Africa (excl MENA),Accord de Paris,07/10/1994,7,10,1994,Multiparty signed/agreed,38,Intra,SubComp,FrAg,"For the Executive:
For the Democratic Party of Gabon (PDG), the Interim General Secretary: Honourable Leonard ANDJEMBE
For the Unity People’s Party (PUP), the President: M Louis Gaston MAYILA
For the Socialist Union of Gabon (USG), the First Secretary: Dr. Serge MBA BEKALE
For the Gabon Association for Socialism (APSG), the President: Victor MAPANGOU MUCANI MUETSA
For the Liberal Reform Convention (CLR), the President, Honourable Jean Boniface ASSELE

For the Opposition HCR
POLITICAL PARTIES
For the Democratic & Republican Alliance (ADERE), the President, Gaston Noel MBOUMBOU NGOMA
For the African Forum for Reconstruction (FAR), the First Secretary, Honourable Leon MBOU YEMBI
For the People’s Socialist Emancipation Movement (MESP), the Secretary General, Alfred ANTYUWE WORA
For the National Recovery Movement (MORENA), the President, Honourable Simon OYONO ABA’A
For the Independent Centre Party of Gabon (PGCI), the President, Jerome OKINDA
For the Progress Party of Gabon (PGP), the President, Me Pierre Louis AGONDJO OKAWE
For the Democratic Justice Congress (CDJ), the President, Marc Saturnin NAN NGUEMA
For the Radical Independent Republican Party (PARI), the President, Honourable Anacle BISSIELO
For the Social Democratic Party (PSD), the President, Pierre Claver MAGANGA MOUSSAVOU
For the United People’s Party (PUP-CRISE), the President, Paulin NSOME
For the National Assembly of Foresters (RNB), the President, Pere Paul MBA ABESSOLE
For the Gabon People’s Union (UPG), the President, Pierre MAMBOUNDOU
POLITICAL GROUPS
Group: Jules Aristide BOURDES OGOULIGUENDE
Group: Leon MEBIANE
Group: Alexandre SAMBAT
Group: Di Djob DIVUNGUI DI NDING
Group: Jean-Pierre LEMBOUMBA LEPANDOU
","International Observers
For the Republic of France
For the Republic of Congo
For the Republic of Benin
For the Federal Republic of Germany and the European Union
For Canada
The Mediator: H.E. Kemoke KEITA, Ambassador of Guinea, representing the Secretary General of the OUA
His Excellence El Hadj Omar Bongo, President of the Republic, Head of State
",,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,1,Gabon peace process,47,,,,,,07/10/1994,1994,3,3,4,0,2,0,7,2,1984.0,2004.0,1993.0,1992.0,1989.0,1995.0,1996.0,1999.0,0.0,Gabon,0.0,481.0,266.0,GAB,GAB,,,,,,,,1994,0,0,1,0,0,0,0,0,0,1,0,1,0
15,16,21,Georgia/Abkhazia,Government/territory,Europe and Eurasia,"Concluding statement on the results of the second meeting of the Georgian and Abkhaz sides, Geneva, 23-25 July 1998.",25/07/1998,25,7,1998,Multiparty signed/agreed,4,Intra,Pre,PreMix,"Georgia, Abkhazia","UN (Chair), UNDP, UNHCR, UNDP, Russian Federation (Facilitator), OSCE, Group of Friends of the UNSG (France, Germany, Russian Federation, UK, US) as observers",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,Abkhazia peace process,48,197.0,392.0,,,,25/07/1998,1998,2,2,3,0,1,0,1,3,1988.0,2008.0,1997.0,1996.0,1993.0,1999.0,2000.0,2003.0,1.0,Georgia,1.0,372.0,268.0,GRG,GEO,,,,,,882.0,Abkhazia Revolt,1998,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,27,Haiti,Government,Americas,Governors Island Accord,01/07/1993,1,7,1993,Multiparty signed/agreed,2,Intra,SubPar,MultIss,"Signed:

Jean-Bertrand Aristide, President of the Republic of Haiti

General Raoul Cédras, the Commander-in- Chief of the Armed Forces of Haiti",[The document does not include any mention of third parties. UN mediator Dante Caputo was already coded on the database.],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Haitian peace process,54,186.0,381.0,,412000000000.0,,01/07/1993,1993,0,0,1,0,1,0,2,4,1983.0,2003.0,1992.0,1991.0,1988.0,1994.0,1995.0,1998.0,0.0,Haiti,0.0,41.0,332.0,HAI,HTI,,,,,,,,1993,0,0,1,0,0,0,0,0,0,0,0,0,0
22,23,29,Haiti,Government,Americas,Protocol of agreement between President Jean-Bertrand Aristide and Prime Minister- Designate René Théodore under the auspices of the Organization of American States (OAS),25/02/1992,25,2,1992,Multiparty signed/agreed,2,Intra,SubPar,MultIss,"(Signed) Jean-Bertrand Aristide
President of the Republic of Haiti

(Signed) René Theodore
Prime Minister-Designate
","Signed under the auspices of the Organization of American States:
(Signed) João Baena Soares
Secretary General
",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Haitian peace process,54,186.0,381.0,,,,25/02/1992,1992,0,0,1,0,1,0,5,1,1982.0,2002.0,1991.0,1990.0,1987.0,1993.0,1994.0,1997.0,0.0,Haiti,0.0,41.0,332.0,HAI,HTI,,,,,,,,1992,1,1,0,0,1,0,0,0,0,0,0,0,0
23,24,30,India/Bodoland,Government/territory,Asia and Pacific,Memorandum of Settlement ('Bodo Accord'),20/02/1993,20,2,1993,Multiparty signed/agreed,6,Intra,Imp,ImpMod,"S.K.Bwiswamutiary President, ABSU;
Rabi Ram Brahma General Secretary, ABSU;
Subhash Basumatari Chairman, BPAC;
K.S. RAO, Add. Chief Secretary to the Government of Assam;","In the presence of: Rajesh Pilot, Minister or State (Internal Security) Ministry of Home Affairs, Government of India;
Hiteswar Saikia Chief Minister of Assam State Govt. of Assam;",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,1,0,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,1,0,3,0,1,1,1,1,0,1,0,0,3,0,0,1,1,2,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Bodoland peace process,56,227.0,421.0,,7500000000000.0,27.0,20/02/1993,1993,9,9,11,0,0,0,0,7,1983.0,2003.0,1992.0,1991.0,1988.0,1994.0,1995.0,1998.0,1.0,India,1.0,750.0,356.0,IND,IND,,,,,,,,1993,10,1,1,0,1,1,1,1,0,0,0,0,0
26,27,33,Israel/(Palestine),Government,Middle East and North Africa,Letter of Invitation to Madrid Peace Conference,30/10/1991,30,10,1991,Multiparty signed/agreed,7,InterIntra,Pre,Proc,"Israel, Syria, Lebanon, Jordan, Palestine Liberation Organisation","US, Soviet Union",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Israel-Palestine peace process,69,37.0,234.0,,,,30/10/1991,1991,1,1,3,1,0,0,1,1,1981.0,2001.0,1990.0,1989.0,1986.0,1992.0,1993.0,1996.0,1.0,Israel,1.0,666.0,376.0,ISR,ISR,,,,,,,,1991,1,1,0,0,0,1,0,0,0,0,0,0,0
35,36,43,Moldova/Russia/(Transdniestria),Government/territory,Europe and Eurasia,Joint Statement of the Presidents of the Russian Federation and Ukraine in Connection with the Signing of the Memorandum on the Bases for Normalization of Relations between the Republic of Moldova and Transdniestria,08/05/1997,8,5,1997,Multiparty signed/agreed,1,InterIntra,Pre,PreMix,"Boris Yeltsin, Russian Federation, Leonid Kuchma, Ukraine",participation of OSCE Chairman-In-Office,"decision of the OSCE, the Joint Declaration of 19 January 1996 of the President of the Russian Federation, Ukraine, and the Republic of Moldova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Transdniestria process,83,199.0,394.0,,,,08/05/1997,1997,0,0,3,1,0,0,1,0,1987.0,2007.0,1996.0,1995.0,1992.0,1998.0,1999.0,2002.0,0.0,Moldova,0.0,359.0,498.0,MLD,MDA,Russia,365.0,643.0,RUS,RUS,873.0,Dniestrian Independence War,1997,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,63,Sierra Leone,Government,Africa (excl MENA),Statement by the Government of Sierra Leone and the Revolutionary United Front of Sierra Leone on the Delivery of Humanitarian Assistance in Sierra Leone,03/06/1999,3,6,1999,Multiparty signed/agreed,2,Intra,Imp,ExtSub,Unsigned annex of the Lome agreement. Parties are presumed to be The Government of Sierra Leone (GOSL) and the Revolutionary United Front (RUF/SL),Unsigned Annex of the Lome Agreement,"Page 1, Untitled Preamble, Para 3: Reiterate their commitment to the implementation of the Ceasefire Agreement signed by the two parties on 18th May 1999 in Lome.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Sierra Leone peace process,77,187.0,382.0,,,,03/06/1999,1999,0,0,1,0,0,1,1,2,1989.0,2009.0,1998.0,1997.0,1994.0,2000.0,2001.0,2004.0,0.0,Sierra Leone,0.0,451.0,694.0,SIE,SLE,,,,,,898.0,Second Sierra Leone war of 1998-2000,1999,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,75,Somalia,Government,Africa (excl MENA),"Sodere Declaration, comprising the Declaration of National Pledges and Commitments, and Solemn Declaration, adopted on 3 January 1997 by the High-level Consultative Meeting of Somali Political Movements, held at Sodere, Ethiopia",03/01/1997,3,1,1997,Multiparty signed/agreed,14,Intra,Pre,Prin,"Somali Afrikans Muki Organization/Somali Salvation Alliance, Signed by Mohamed Ramadan Arbow; Somali Democratic Alliance/Somali Salvation Alliance, Signed by Ali Haji Hersi; Somali Democratic Movement/Bonkai, Signed by Abdulahi Mohamed Idris ""Lesto""; Somali Democratic Movement/Somali National Alliance, Signed by Issaq Malaq Ibrahim; Somali Democratic Movement/Rahanwein Resistance Army, Signed  by Hassan Mohamed Nur; Somali Democratic Movement/Somali Salvation Alliance, Signed by Abdi Musa Mayow; Somali Democratic Union, Signed by Abukar Abdi Osman; Somali National Democratic Union, Signed by Ali Ismail Abdi; Somali National Democratic Union/Somali Salvation Alliance, Signed by Mohamed Adan Yusuf; Somali National Front/Somali Salvation Alliance, Signed by Omer Haji Mohamed; Somali National Union/Somali Salvation Alliance, Signed by Mohamed Rajis Mohamed; Somali Patriotic Movement/Somali National Alliance, Signed Ahmed Hashi Mohamud; Somali Patriotic Movement/Somali Salvation Alliance, Signed by Adan Abdulahi Nur; Somali Salvation Congress, Signed by Abdullahi Moallin Mohamed; Somali Salvation Democratic Front, Signed by Mohamed Abshir Musa; Somali Salvation Democratic Front, Signed by Abdilahi Yusuf Ahmed; Southern Somali National Movement/Somali Salvation Alliance, Signed by Abdullahi Shiek Ismail; SUDO/Somali Salvation Alliance, Signed by Abdi Abdulahi Ibrahim; United Somali Congress, Signed by Osman Roble Mohamud; United Somali Congress/Somali National Alliance, Signed by Osman Hassan Ali, Ato; United Somali Congress/Patriotic Movement/Somali Salvation Alliance, Signed by Abdi Osman Farah; United Somali Congress/Somali Salvation Alliance, Signed by Ali Mahdi Mohamed; United Somali Congress/Upper Jubba, Signed by Yusuf Sheekh Mohamed; United Somali Front/Somali Salvation Alliance, Signed by Abdi Omer Ahmed; United Somali Party, Signed by Ahmed Gure Adan; United Somali Party/Somali Salvation Alliance, Signed by Mohamed Abdi Hashi; USR, Signed by Mohamud Hussein Farah
",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,Somalia Peace Process,94,141.0,337.0,,,,03/01/1997,1997,1,2,3,0,0,0,3,2,1987.0,2007.0,1996.0,1995.0,1992.0,1998.0,1999.0,2002.0,0.0,Somalia,0.0,520.0,706.0,SOM,SOM,,,,,,870.0,Second Somalia War of 1991-1997,1997,2,1,0,0,1,0,0,0,1,0,0,0,0
