,Unnamed: 0,AgtId,Con,Contp,Reg,Agt,Dat,Day,Month,Year,Status,Lgt,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeSo,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsOth,Mps,MpsMe,MpsJt,MpsOth,HrGen,EqGen,HrDem,Prot,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc,PeaceProcess,PeaceProcessN,UCDPc_code_old,conflict_id,In_other_UCDP,PAID_UCDP,PAM_ID,Date,Year.1,inclusion1,inclusion2,inclusion3,HumRiFrameALL,HumRiCivPolALL,HumRiSocEconALL,humanrightsALL,SecurityALL,Y-10,Y+10,Y-1,Y-2,Y-5,Y+1,Y+2,Y+5,IsLocationProvisional,Location1,IsGWNOprovisional,GWNO,ISONUM,ConShort,ISO3,Location2,GWNO2,ISONUM2,ConShort2,ISO3_2,WarNumCoW,WarNameCoW,yr,anypowersharing,anypowersharing_binom,Amnesty,TJ_bin,politicalps,territorialps,economicps,militaryps,womenandps,TJmechanism,Drugs,Corruption,Crime_Org_Crime
1,2,2,Bosnia and Herzegovina/Yugoslavia (former),Government/territory,Europe and Eurasia,"Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton",10/11/1995,10,11,1995,Multiparty signed/agreed,14,Intra,Imp,ImpMod,"To the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina:
Alija Izetbegovic, President of the Republic of Bosnia and Herzegovina; Kresimir Zubik, President of the Federation of Bosnia and Herzegovina; Dr. Haris Silajdzic, Prime Minister; Jadranko Prlic, Deputy Prime Minister

To the signed Annex to the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina - Agreed Principles for the Interim Statute for the City of Mostar:
Mijo Brajkovic, Mayor of West Mostar; Hans Koachnik, EU Admininstrator; Safet Orucevic, Mayor of East Mostar

To the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina:
Endorsed by: Dr. Franjo Tudjman, President of the Republic of Croatia","Witnessed by: Ambassador Wolfgang Ischinger, Federal Republic of Germany; Ambassador Richard Holbrooke, United States of America; Ambassador Fernandez de la Pena, Spanish EU Presidency; Hans Koschnick, EU Administrator Mostar

To the signed Annex to the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina - Agreed Principles for the Interim Statute for the City of Mostar:
Muhamed Sacirbey, Minister of Foreign Affairs of the Republic of Bosnia and Herzegovina; Gojko Susak, Minister of Defense of the Republic of Croatia; Ambassador Wolfgang Ischinger, Federal Republic of Germany; Ambassador Fernandez de la Pena, Spanish EU Presidency
","Page 7, Ambassadors
Within one month after the adoption of the legislation referred to in section II A, we
shall implement the agreements reached in Zagreb on 11 September 1994 and at the Petersberg on 10 March 1995 regarding the appointment of Ambassadors.

Page 8, I. Mostar
The Memorandum of Understanding for the EU Administration of 6 July 1994 shall be fully implemented.

Page 12, Annex: Agreed Principles for the Interim Statute for the City of Mostar
3. The City of Mostar shall be composed of six separate City-Municipalities. The boundaries of these City-Municipalities shall be defined in the Interim Statute for the City of Mostar.",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,1,1,3,0,2,0,0,0,0,2,2,0,1,0,1,1,0,0,1,0,3,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,2,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bosnia peace process,140,203.0,398.0,,,,10/11/1995,1995,6,7,7,0,0,0,1,8,1985.0,2005.0,1994.0,1993.0,1990.0,1996.0,1997.0,2000.0,0.0,Bosnia-Herzegovina,0.0,346.0,70.0,BOS,BIH,Yugoslavia,345.0,,YUG,,215.0,War of Bosnian Independence,1995,7,1,0,0,1,1,0,1,1,0,0,0,1
23,24,30,India/Bodoland,Government/territory,Asia and Pacific,Memorandum of Settlement ('Bodo Accord'),20/02/1993,20,2,1993,Multiparty signed/agreed,6,Intra,Imp,ImpMod,"S.K.Bwiswamutiary President, ABSU;
Rabi Ram Brahma General Secretary, ABSU;
Subhash Basumatari Chairman, BPAC;
K.S. RAO, Add. Chief Secretary to the Government of Assam;","In the presence of: Rajesh Pilot, Minister or State (Internal Security) Ministry of Home Affairs, Government of India;
Hiteswar Saikia Chief Minister of Assam State Govt. of Assam;",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,1,0,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,1,0,3,0,1,1,1,1,0,1,0,0,3,0,0,1,1,2,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Bodoland peace process,56,227.0,421.0,,7500000000000.0,27.0,20/02/1993,1993,9,9,11,0,0,0,0,7,1983.0,2003.0,1992.0,1991.0,1988.0,1994.0,1995.0,1998.0,1.0,India,1.0,750.0,356.0,IND,IND,,,,,,,,1993,10,1,1,0,1,1,1,1,0,0,0,0,0
47,48,87,Nepal,Government,Asia and Pacific,Decisions of the Seven Party Alliance (SPA) - Maoist Summit Meeting,08/11/2006,8,11,2006,Multiparty signed/agreed,7,Intra,SubPar,MultIss,"Signatories:

Prachanda, Chairman, CPN (Maoist)
Girija Prasad Koirala, Prime Minister and President, Nepali Congress
Madhav Kumar Nepal, Secretary General, CPN (UML)
Sher Bahadur Deuba, President, Nepali Congress (Democratic)
Amik Sherchan, Deputy Prime Minister and Chairman, People’s Front Nepal
Bharat Bimal Yadav, Vice President, NSP (Anandi Devi)
Narayan Man Bijukchhe, President, NWPP
C.P. Mainali, Chairman, United Left Front

November 8, 2006

Note of dissent of the CPN (UML)

While agreeing to the implementation of the above as agreed by all other parties, our party records the following dissenting views:

1.	The CPN (UML) holds a dissenting view that the issue of whether or not to retain the institution of monarchy should be decided by a referendum held simultaneously with the election to the Constituent Assembly.
2.	The CPN (UML) holds a dissenting view that the most democratic method to elect the Constituent Assembly is the proportional system of election.

(Signed)

Madhav Kumar Nepal
Secretary General, CPN (UML)",,"Page 1, Untitled preamble:...Reaffirming full commitments to the 12-point understanding and the 8-point agreement concluded between the Seven Political Parties and the Maoists and the 25-point code of conduct along with all other agreements, understandings, codes of conduct concluded between the Government of Nepal and CPN-Maoists and the letters of similar spirit sent to the United Nations by the Government of Nepal and the Maoists;...

Page 1, II, Relating to the management of Army and Arms: The following shall be done in order for holding the election to the Constituent Assembly in a peaceful, fair and fearless environment and for the democratisation and restructuring of the Nepali Army in line with the spirit of the 12-point understanding, 8-point agreement, 25- point code of conduct and the 5-point letters sent to the United Nations:


Page 2, II, Relating to the management of Army and Arms, Relating to the Maoist army, 1: As per the commitments expressed in the letters sent to the United Nations by the Government of Nepal and the Maoists on August 9, 2006, the combatants of the Maoist army shall be confined to the following temporary cantonments. The United Nations shall verify and monitor them.",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,1,0,0,2,0,1,0,0,2,1,1,0,0,3,0,1,0,3,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,3,2,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,2,2,0,2,0,1,0,1,2,0,0,0,1,0,1,Nepal peace process,88,72.0,269.0,,7900000000000.0,,08/11/2006,2006,16,17,18,0,1,6,12,9,1996.0,2016.0,2005.0,2004.0,2001.0,2007.0,2008.0,2011.0,0.0,Nepal,0.0,790.0,524.0,NEP,NPL,,,,,,931.0,Second Nepal Maoists War,2006,5,1,1,0,1,0,0,1,1,1,0,1,0
72,73,119,Cote d'Ivoire,Government,Africa (excl MENA),Ouagadougou Political Agreement,04/03/2007,4,3,2007,Multiparty signed/agreed,10,Intra,SubPar,MultIss,"Laurent Gbagbo President of the Republic of Cote d’Ivoire
Guillaume Kigbafori Soro Secretary-General of Forces Nouvelles of the Republic of Cote d’Ivoire

","facilitator and signatory: Blaise Compaoré: President of
Burkina Faso / Chairman of the Economic Community of West African States","Page 1, PREAMBLE
…
President Blaise Compaoré, after consulting with the Secretary-General of Forces nouvelles, Mr. Guillaume Soro, with the various political stakeholders in Côte d’Ivoire and with the Prime Minister, Mr. Charles Konan Banny, acceded to the request and recommended that the direct talks should be held within the framework of resolution 1721 (2006), adopted by the United Nations Security Council on 1 November 2006.
…
After identifying the problems encountered in the implementation of the Linas Marcoussis, Accra and Pretoria Agreements and the United Nations resolutions on Côte d’Ivoire and before taking any decisions, the Parties reaffirmed the following:
…
–	Their commitment to the Linas-Marcoussis, Accra and Pretoria Agreements; 
–	Their commitment to all United Nations resolutions on Cote d’Ivoire, particularly resolutions 1633 (2005) and 1721 (2006) of the Security Council

Page 6, 3.2 NATIONAL DISARMAMENT, DEMOBILISATION AND REINTEGRATION PROGRAMME
3.2.1 The Parties to this Agreement undertake to disarm their respective forces as soon as possible, in accordance with the recommendations of the Linas-Marcoussis Agreement and the modalities laid down in the following military agreements:
- The Joint Plan for DDR Operations (PCO) signed on 9 January 2004 and updated at the seminar on disarmament held from 2 to 6 May 2005 in Yamoussoukro under the auspices of the South African mediation; 
- The National DDR Programme and its accompanying timetable adopted on 9 July 2005 in Yamassoukro;
- The conclusions of the working meeting held in Yamoussoukro on Saturday 14 May 2005 between the Chiefs of Staff of FANCI and FAFN.

Page 7, 6.2 ZONE OF CONFIDENCE
6.2.1 In order to allow the free movement of people and goods, the two Parties to the direct dialogue agree to request the impartial forces of Licorne and UNOCI to dismantle the zone of confidence, in accordance with paragraph A.4 of the document on “Management of the zone of confidence”, referred to as Code 14. 

Page 8, 6.3 AMNESTY LAW
In order to promote forgiveness and national reconciliation and to restore social cohesion and solidarity among Ivorians, the two Parties to the direct dialogue agree to extend the scope of the amnesty law passed in 2003. To this end, they have decided to adopt, by ordinance, a new amnesty law covering crimes and offences related to national security and arising from the conflict that shook Côte d’Ivoire and which were committed between 17 September 2000 and the date of entry into force of the present Agreement, with the exception of economic crimes, war crimes and crimes against humanity.
",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,Ivory Coast peace process,5,225.0,419.0,,4370000000000.0,11.0,04/03/2007,2007,5,5,6,0,0,0,4,11,1997.0,2017.0,2006.0,2005.0,2002.0,2008.0,2009.0,2012.0,0.0,Ivory Coast,0.0,437.0,384.0,CDI,CIV,,,,,,925.0,Cote d'Ivoire Military War,2007,3,1,1,0,0,0,0,1,0,0,0,0,0
121,122,173,Colombia,Government,Americas,"Acuerdo Politico Final, Gobierno Nacional y Corriente de Renovacion Socialista",09/04/1994,9,4,1994,Multiparty signed/agreed,16,Intra,SubComp,FrAg,"Por el Gobierno Nacional
CESAR GAVIRIA TRUJILLO Presidente de la República
CARLOS EDUARDO JARAMILLO Consejero Presidencial para la paz
FABIO VILLEGAS RAMÍREZ Ministro de Gobierno
Por la Corriente de Renovación Socialista
JOSÉ ARISTIZABAL FERNANDO HERNÁNDEZ ADOLFO BULA",Testigo Tutor Presbítero RAMÓN GONZÁLEZ MORA,,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,Colombia I - Gaviria,106,92.0,289.0,,,,09/04/1994,1994,2,2,3,0,0,0,5,7,1984.0,2004.0,1993.0,1992.0,1989.0,1995.0,1996.0,1999.0,0.0,Colombia,0.0,100.0,170.0,COL,COL,,,,,,856.0,Eighth Colombia,1994,4,1,1,0,1,0,0,1,0,0,0,0,0
139,140,195,Cote d'Ivoire,Government,Africa (excl MENA),Accord Accra II (Ghana) sur la Crise en Côte d'Ivoire,07/03/2003,7,3,2003,Multiparty signed/agreed,2,Intra,Imp,ExtSub,"For the FPI, Pascal AFFI NGUESSAN
For the MFA Innocent KOBENA ANAKY
For the MJP Gaspard DELI
For the MPCI Guillaume SORO
For the MPIGO Roger BANCHI
For the PDCI-RDA Alphonse DJEDJE MADY
For the PIT Francis WODIE
For the RDR Alassane Dramane OUATTARA
For the UDCY Theodore MEL EG
For the UDPCI Paul AKOTO YAO
","The Honorable Hackman OWUSU-AGYEMANG, President of the CEDEAO Ministerial Council for Mediation and Security","Page 1, Paragraph 1
At the invitation of His Excellency Mr John Agyekum KUFUOR, President of the Republic of Ghana, current President of CEDEAO, a Round Table of Ivorian political groups, signatories to the Linas-Marcoussis Agreement, met in Accra on March 6-7, 2003.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,Ivory Coast peace process,5,225.0,419.0,,4370000000000.0,,07/03/2003,2003,0,0,0,0,0,0,1,5,1993.0,2013.0,2002.0,2001.0,1998.0,2004.0,2005.0,2008.0,0.0,Ivory Coast,0.0,437.0,384.0,CDI,CIV,,,,,,925.0,Cote d'Ivoire Military War,2003,4,1,0,0,1,0,0,1,0,0,0,0,1
141,142,197,Djibouti,Government/territory,Africa (excl MENA),Accord cadre de réforme et de concorde civile,07/02/2000,7,2,2000,Multiparty signed/agreed,3,Intra,SubComp,FrAg,"For Armed FRUD, The President, Ahmed Dini Ahmed Aboubaker;
For the Government, The Head of Cabinet of the President of the Republic, Ali Guelleh;
",,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,1,1,FRUD process,23,184.0,379.0,,5220000000000.0,,07/02/2000,2000,2,2,3,0,3,0,5,7,1990.0,2010.0,1999.0,1998.0,1995.0,2001.0,2002.0,2005.0,0.0,Djibouti,0.0,522.0,262.0,DJI,DJI,,,,,,,,2000,3,1,1,0,0,1,0,1,0,0,0,0,0
142,143,198,Republic of Congo,Government,Africa (excl MENA),Agreement on Ending Hostilities in the Republic of Congo,16/11/1999,16,11,1999,Multiparty signed/agreed,14,Intra,Cea,Rel,"p.p. the Command of the Security Forces
General Gilbert Mokoki
[signed]

p.p. the Ninja Command
Bernard Ntandou
[signed]

p.p. the Résistance Sud Sud Command
Fidèle Ngoma Adada
[signed]

p.p. the Cobras Command
Faustin Elenga
[signed]

p.p. the MNLCR Command
Martin Ngolo
[signed]

p.p. the MNLC Command
Colonel M'Bouissi-Moukoko
[signed]

p.p. the “Bana Dol” Command
P/M Jean-Michel Dississa
[signed]

","p.p. the Monitoring Commission of the Douala Appeal (Facilitator)
Marius Mouambenga
[signed]

p.p. the World Peace Council Africa Area/Congo. Fed. (Facilitator)
Vital Balla
[signed]

",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,2,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,1,1,Republic of Congo peace process,99,214.0,408.0,,,,16/11/1999,1999,1,1,1,0,0,0,2,11,1989.0,2009.0,1998.0,1997.0,1994.0,2000.0,2001.0,2004.0,0.0,Congo,0.0,484.0,178.0,CON,COG,,,,,,908.0,Second Congo (Brazzaville) War,1999,3,1,1,0,0,0,0,1,0,0,0,0,0
145,146,201,Republic of Congo,Government,Africa (excl MENA),Ceasefire and ending hostilities agreement between the High Command of the Security Forces and the High Command of the Self-defence Forces of Resistance (FADR),29/12/1999,29,12,1999,Multiparty signed/agreed,5,Intra,Cea,CeaMix,"p.p. the High Command of the FADR

Colonel Pierre Boungou-Boungou
[signed]


p.p. the High Command of the Security Forces

General Gilbert Mokoki
[signed]

Colonel Victor Moukanda
[signed]

Colonel Emmanuel Boungouanza
[signed]

Joseph Mbizi
[signed]

Colonel François Bouesse
[signed]

p.p. the President of the Republic of Congo and PO

The Interior, Security, and State Administration Minister
General Pierre Oba
[signed]
","p.p. the President of the Gabonese Republic and PO
The State, Interior, Public Security, and Decentralisation Minister
A. Mboumbou-Miyakou
[signed]",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,Republic of Congo peace process,99,214.0,408.0,,4840000000000.0,15.0,29/12/1999,1999,1,1,1,0,0,0,1,8,1989.0,2009.0,1998.0,1997.0,1994.0,2000.0,2001.0,2004.0,0.0,Congo,0.0,484.0,178.0,CON,COG,,,,,,908.0,Second Congo (Brazzaville) War,1999,2,1,1,0,0,0,0,1,0,0,0,0,0
146,147,202,Burundi,Government,Africa (excl MENA),Accord de Partage de Pouvoir au Burundi,06/08/2004,6,8,2004,Multiparty signed/agreed,5,Intra,SubPar,Iss,"Signatories Parties of Arusha Peace Agreement and Ceasefire Agreements: Abasa, Anadde (listed but not signed), CNDD, CNDD-FDD (listed but not signed), FNL-ICANZO, FRODEBU, FROLINA, Green Party, INKINZO (listed but not signed), KAZA-FDD, PALIPE AGAKIZA, PARENA (listed but not signed), PIT, PL, PRP (listed but not signed), PSD (listed but not signed), RADDES (listed but not signed), RPB, UPRONA (listed but not signed)
Parties Non Signatories (of aforementioned agreements): ALIDE (listed but not signed), MRC (listed but not signed), NADDEBU, PACONA (listed but not signed), PADER, PAJUDE, PPDRR, RUSANGI, SONOVI, UPD
President of the Republic of Burundi: Domitien Ndayizeye
","Witnesses:
Facilitator of Burundi Peace Process, Representative of African Union, UN Representative","- Arusha Agreement on Peace and Reconciliation in Burundi
- the Global Ceasefire Agreements",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,3,2,0,1,1,0,1,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,2,0,1,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,Burundi peace process,19,90.0,287.0,,,,06/08/2004,2004,6,7,8,0,0,0,5,7,1994.0,2014.0,2003.0,2002.0,1999.0,2005.0,2006.0,2009.0,0.0,Burundi,0.0,516.0,108.0,BUI,BDI,,,,,,918.0,Third Burundi,2004,8,1,0,1,1,0,1,1,1,0,0,0,0
