,Unnamed: 0,AgtId,Con,Contp,Reg,Agt,Dat,Day,Month,Year,Status,Lgt,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeSo,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsOth,Mps,MpsMe,MpsJt,MpsOth,HrGen,EqGen,HrDem,Prot,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc,PeaceProcess,PeaceProcessN,UCDPc_code_old,conflict_id,In_other_UCDP,PAID_UCDP,PAM_ID,Date,Year.1,inclusion1,inclusion2,inclusion3,HumRiFrameALL,HumRiCivPolALL,HumRiSocEconALL,humanrightsALL,SecurityALL,Y-10,Y+10,Y-1,Y-2,Y-5,Y+1,Y+2,Y+5,IsLocationProvisional,Location1,IsGWNOprovisional,GWNO,ISONUM,ConShort,ISO3,Location2,GWNO2,ISONUM2,ConShort2,ISO3_2,WarNumCoW,WarNameCoW,yr,anypowersharing,anypowersharing_binom,Amnesty,TJ_bin,politicalps,territorialps,economicps,militaryps,womenandps,TJmechanism,Drugs,Corruption,Crime_Org_Crime
0,1,1,Angola,Government,Africa (excl MENA),"Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998",09/01/1998,9,1,1998,Multiparty signed/agreed,2,Intra,Imp,ImpMod,[Note: Parties not listed.],,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,UNITA process,4,131.0,327.0,,,,09/01/1998,1998,0,0,0,0,0,0,0,2,1988.0,2008.0,1997.0,1996.0,1993.0,1999.0,2000.0,2003.0,0.0,Angola,0.0,540.0,24.0,ANG,AGO,,,,,,907.0,Third Angolan,1998,3,1,0,0,1,0,0,0,0,0,0,0,0
1,2,2,Bosnia and Herzegovina/Yugoslavia (former),Government/territory,Europe and Eurasia,"Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton",10/11/1995,10,11,1995,Multiparty signed/agreed,14,Intra,Imp,ImpMod,"To the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina:
Alija Izetbegovic, President of the Republic of Bosnia and Herzegovina; Kresimir Zubik, President of the Federation of Bosnia and Herzegovina; Dr. Haris Silajdzic, Prime Minister; Jadranko Prlic, Deputy Prime Minister

To the signed Annex to the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina - Agreed Principles for the Interim Statute for the City of Mostar:
Mijo Brajkovic, Mayor of West Mostar; Hans Koachnik, EU Admininstrator; Safet Orucevic, Mayor of East Mostar

To the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina:
Endorsed by: Dr. Franjo Tudjman, President of the Republic of Croatia","Witnessed by: Ambassador Wolfgang Ischinger, Federal Republic of Germany; Ambassador Richard Holbrooke, United States of America; Ambassador Fernandez de la Pena, Spanish EU Presidency; Hans Koschnick, EU Administrator Mostar

To the signed Annex to the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina - Agreed Principles for the Interim Statute for the City of Mostar:
Muhamed Sacirbey, Minister of Foreign Affairs of the Republic of Bosnia and Herzegovina; Gojko Susak, Minister of Defense of the Republic of Croatia; Ambassador Wolfgang Ischinger, Federal Republic of Germany; Ambassador Fernandez de la Pena, Spanish EU Presidency
","Page 7, Ambassadors
Within one month after the adoption of the legislation referred to in section II A, we
shall implement the agreements reached in Zagreb on 11 September 1994 and at the Petersberg on 10 March 1995 regarding the appointment of Ambassadors.

Page 8, I. Mostar
The Memorandum of Understanding for the EU Administration of 6 July 1994 shall be fully implemented.

Page 12, Annex: Agreed Principles for the Interim Statute for the City of Mostar
3. The City of Mostar shall be composed of six separate City-Municipalities. The boundaries of these City-Municipalities shall be defined in the Interim Statute for the City of Mostar.",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,1,1,3,0,2,0,0,0,0,2,2,0,1,0,1,1,0,0,1,0,3,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,2,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bosnia peace process,140,203.0,398.0,,,,10/11/1995,1995,6,7,7,0,0,0,1,8,1985.0,2005.0,1994.0,1993.0,1990.0,1996.0,1997.0,2000.0,0.0,Bosnia-Herzegovina,0.0,346.0,70.0,BOS,BIH,Yugoslavia,345.0,,YUG,,215.0,War of Bosnian Independence,1995,7,1,0,0,1,1,0,1,1,0,0,0,1
7,8,9,Georgia/Abkhazia,Government/territory,Europe and Eurasia,Rules Governing the Work of the Working Groups,12/06/1997,12,6,1997,Multiparty signed/agreed,3,Intra,Pre,Prin,"Georgia, Abkhazia",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Abkhazia peace process,48,197.0,392.0,,,,12/06/1997,1997,3,3,3,0,0,0,0,3,1987.0,2007.0,1996.0,1995.0,1992.0,1998.0,1999.0,2002.0,1.0,Georgia,1.0,372.0,268.0,GRG,GEO,,,,,,882.0,Abkhazia Revolt,1997,1,1,0,0,1,0,0,0,0,0,0,0,0
21,22,28,Haiti,Government,Americas,Protocol between President Jean-Bertrand Aristide and the parliamentary negotiating commission to find a definitive solution to the Haitian crisis,23/02/1992,23,2,1992,Multiparty signed/agreed,3,Intra,SubPar,MultIss,"(Signed) Jean-Bertrand ARISTIDE
President of the Republic of Haiti

(Signed) Déjean BELIZAIRE
President of the Senate and of the Parliamentary Negotiating Commission

(Signed) Alexandre MEDARD
President of the Chamber of Deputies and Vice-President of the Parliamentary Negotiating Commission",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Haitian peace process,54,186.0,381.0,,,,23/02/1992,1992,0,0,0,0,1,0,2,4,1982.0,2002.0,1991.0,1990.0,1987.0,1993.0,1994.0,1997.0,0.0,Haiti,0.0,41.0,332.0,HAI,HTI,,,,,,,,1992,1,1,1,0,1,0,0,0,0,0,0,0,0
22,23,29,Haiti,Government,Americas,Protocol of agreement between President Jean-Bertrand Aristide and Prime Minister- Designate René Théodore under the auspices of the Organization of American States (OAS),25/02/1992,25,2,1992,Multiparty signed/agreed,2,Intra,SubPar,MultIss,"(Signed) Jean-Bertrand Aristide
President of the Republic of Haiti

(Signed) René Theodore
Prime Minister-Designate
","Signed under the auspices of the Organization of American States:
(Signed) João Baena Soares
Secretary General
",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Haitian peace process,54,186.0,381.0,,,,25/02/1992,1992,0,0,1,0,1,0,5,1,1982.0,2002.0,1991.0,1990.0,1987.0,1993.0,1994.0,1997.0,0.0,Haiti,0.0,41.0,332.0,HAI,HTI,,,,,,,,1992,1,1,0,0,1,0,0,0,0,0,0,0,0
23,24,30,India/Bodoland,Government/territory,Asia and Pacific,Memorandum of Settlement ('Bodo Accord'),20/02/1993,20,2,1993,Multiparty signed/agreed,6,Intra,Imp,ImpMod,"S.K.Bwiswamutiary President, ABSU;
Rabi Ram Brahma General Secretary, ABSU;
Subhash Basumatari Chairman, BPAC;
K.S. RAO, Add. Chief Secretary to the Government of Assam;","In the presence of: Rajesh Pilot, Minister or State (Internal Security) Ministry of Home Affairs, Government of India;
Hiteswar Saikia Chief Minister of Assam State Govt. of Assam;",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,1,0,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,1,0,3,0,1,1,1,1,0,1,0,0,3,0,0,1,1,2,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Bodoland peace process,56,227.0,421.0,,7500000000000.0,27.0,20/02/1993,1993,9,9,11,0,0,0,0,7,1983.0,2003.0,1992.0,1991.0,1988.0,1994.0,1995.0,1998.0,1.0,India,1.0,750.0,356.0,IND,IND,,,,,,,,1993,10,1,1,0,1,1,1,1,0,0,0,0,0
40,41,75,Somalia,Government,Africa (excl MENA),"Sodere Declaration, comprising the Declaration of National Pledges and Commitments, and Solemn Declaration, adopted on 3 January 1997 by the High-level Consultative Meeting of Somali Political Movements, held at Sodere, Ethiopia",03/01/1997,3,1,1997,Multiparty signed/agreed,14,Intra,Pre,Prin,"Somali Afrikans Muki Organization/Somali Salvation Alliance, Signed by Mohamed Ramadan Arbow; Somali Democratic Alliance/Somali Salvation Alliance, Signed by Ali Haji Hersi; Somali Democratic Movement/Bonkai, Signed by Abdulahi Mohamed Idris ""Lesto""; Somali Democratic Movement/Somali National Alliance, Signed by Issaq Malaq Ibrahim; Somali Democratic Movement/Rahanwein Resistance Army, Signed  by Hassan Mohamed Nur; Somali Democratic Movement/Somali Salvation Alliance, Signed by Abdi Musa Mayow; Somali Democratic Union, Signed by Abukar Abdi Osman; Somali National Democratic Union, Signed by Ali Ismail Abdi; Somali National Democratic Union/Somali Salvation Alliance, Signed by Mohamed Adan Yusuf; Somali National Front/Somali Salvation Alliance, Signed by Omer Haji Mohamed; Somali National Union/Somali Salvation Alliance, Signed by Mohamed Rajis Mohamed; Somali Patriotic Movement/Somali National Alliance, Signed Ahmed Hashi Mohamud; Somali Patriotic Movement/Somali Salvation Alliance, Signed by Adan Abdulahi Nur; Somali Salvation Congress, Signed by Abdullahi Moallin Mohamed; Somali Salvation Democratic Front, Signed by Mohamed Abshir Musa; Somali Salvation Democratic Front, Signed by Abdilahi Yusuf Ahmed; Southern Somali National Movement/Somali Salvation Alliance, Signed by Abdullahi Shiek Ismail; SUDO/Somali Salvation Alliance, Signed by Abdi Abdulahi Ibrahim; United Somali Congress, Signed by Osman Roble Mohamud; United Somali Congress/Somali National Alliance, Signed by Osman Hassan Ali, Ato; United Somali Congress/Patriotic Movement/Somali Salvation Alliance, Signed by Abdi Osman Farah; United Somali Congress/Somali Salvation Alliance, Signed by Ali Mahdi Mohamed; United Somali Congress/Upper Jubba, Signed by Yusuf Sheekh Mohamed; United Somali Front/Somali Salvation Alliance, Signed by Abdi Omer Ahmed; United Somali Party, Signed by Ahmed Gure Adan; United Somali Party/Somali Salvation Alliance, Signed by Mohamed Abdi Hashi; USR, Signed by Mohamud Hussein Farah
",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,Somalia Peace Process,94,141.0,337.0,,,,03/01/1997,1997,1,2,3,0,0,0,3,2,1987.0,2007.0,1996.0,1995.0,1992.0,1998.0,1999.0,2002.0,0.0,Somalia,0.0,520.0,706.0,SOM,SOM,,,,,,870.0,Second Somalia War of 1991-1997,1997,2,1,0,0,1,0,0,0,1,0,0,0,0
42,43,78,Bosnia and Herzegovina/Yugoslavia (former),Government/territory,Europe and Eurasia,"Further Agreed Basic Principles (additional to those issued 8 September 1995, in Geneva)",26/09/1995,26,9,1995,Multiparty signed/agreed,2,Intra,Pre,Prin,"H.E. Mr. Muhamed Sacirbey, Foreign Minister of the Republic of Bosnia and Herzegovina (Bosnia and Herzegovina); H.E. Mr. Mate Granic, Foreign Minister of the Republic of Croatia (Croatia); and H.E. Mr. Milan Milutinovic, Foreign Minister of the Federal Republic of Yugoslavia (Yugoslavia)","Witnessed by: the Permanent Representatives of France, Germany, Italy, the Russian Federation, the United Kingdom of Great Britain and Northern Ireland, and the United States of America to the United Nations","Page 1, 5.2
5.2 As soon as possible the Organization for Security and Cooperation in Europe (OSCE)(or other international organization) will station representatives in all principal towns throughout the Federation and the Republika Srpska in Bosnia and Herzegovina and publish monthly reports as to the degree to which (a) the obligations listed in all of the Agreed Basic Principles have been fulfilled, and (b) social conditions are being restored to a level at which the election process may be effective.

Page 2, 6.4
A constitutional court with jurisdiction to decide all questions arising under the Constitution of Bosnia and Herzegovina as it will be revised in accordance with all of the Agreed Basic Principles.

Page 2, 6.6
The foregoing institutions will have responsibility for the foreign policy of Bosnia and Herzegovina. The parties will negotiate further to determine the extent to which these institutions will also have responsibility for other matters consistent with all of the Agreed Basic Principles.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Bosnia peace process,140,194.0,389.0,,,,26/09/1995,1995,1,1,5,2,1,0,5,0,1985.0,2005.0,1994.0,1993.0,1990.0,1996.0,1997.0,2000.0,0.0,Bosnia-Herzegovina,0.0,346.0,70.0,BOS,BIH,Yugoslavia,345.0,,YUG,,215.0,War of Bosnian Independence,1995,3,1,0,0,1,0,0,0,0,0,0,0,0
43,44,79,Guinea-Bissau,Government,Africa (excl MENA),Final Communique of the Lome Meeting on the Peace Process in Guinea-Bissau,15/12/1998,15,12,1998,Multiparty signed/agreed,3,Intra,Imp,ImpMod,"(Signed) H.E. Joao Bernardo VIEIRA
President of the Republic of Guinea-Bissau

(Signed) General Ansumane MANE
Commander of the Self-Proclaimed Military Junta

","(Signed) H.E. Gnassingbe EYADEMA
President of the Togolese Republic

...(Signed) H.E. Vincent OKOBI Extraordinary and Plenipotentiary Ambassador of the Federal Republic of Nigeria in Togo, Representing the Head of State, Commander-in Chief of the Armed Forces of the Federal Republic of Nigeria

(Signed) H.E. Tounkara YAHAYA Minister of National Defence of the Republic of Niger


(Signed) General Lamine CISSE
Minister of Interior of the Republic of Senegal

(Signed) H.E. Lansana KOUYATE Executive Secretary of the Economic Community of West African States



","Page 1, Untitled Preamble:...During the proceedings, President Eyadema recalled that the framework of the ongoing peace process is comprised of the Praia Accord of 26 August 1998 and the Abuja Accord of 1 November 1998, which define the modalities of the ceasefire and the conditions for a return of lasting peace and normal political life.

Page 1, Untitled Preamble:...He rejoiced at the progressive implementation of these agreements, in particular the recent appointment of H.E. Francisco FADUL as Prime Minister, which paves the way to the formation of a new Government of National Unity.

Page 1, Untitled Preamble:...He also stressed the necessity for the parties concerned in this conflict, as well as for member States of the Economic Community of West African States, to work further to ensure the implementation of the above-mentioned agreements until the realization of the objectives contained therein.

Page 1, 1. On the ceasefire: The protagonists reiterated their commitment to continue to abide by the ceasefire Agreement signed at Praia on 26 August 1998, in order to facilitate the effective implementation of the Agreement reached at Abuja on 1 November 1998.

Page 1, 2. On the setting up of the Government of National Unity: The Heads of State and the parties in conflict rejoiced at the appointment of a Prime Minister.
The parties to the conflict agreed to form a Government of National Unity according to a structure and a distribution consigned in an additional protocol to the Abuja Accord (see annex II).

Page 2, 3. On the deployment of an ECOWAS Monitoring Group interposition force: Having examined the situation prevailing in Guinea-Bissau, the Heads of State and the parties in conflict reiterated the necessity of accelerating the deployment of an ECOWAS Monitoring Group interposition force, in accordance with the 1 November 1998 Agreement.

Page 2, 3. On the deployment of an ECOWAS Monitoring Group interposition force: Having examined the situation prevailing in Guinea-Bissau, the Heads of State and the parties in conflict reiterated the necessity of accelerating the deployment of an ECOWAS Monitoring Group interposition force, in accordance with the 1 November 1998 Agreement.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Guinea Bissau peace process,52,216.0,410.0,,,,15/12/1998,1998,0,0,0,0,0,0,0,2,1988.0,2008.0,1997.0,1996.0,1993.0,1999.0,2000.0,2003.0,0.0,Guinea-Bissau,0.0,404.0,624.0,GNB,GNB,,,,,,902.0,Guinea-Bissau Military War,1998,1,1,0,0,1,0,0,0,0,0,0,0,0
47,48,87,Nepal,Government,Asia and Pacific,Decisions of the Seven Party Alliance (SPA) - Maoist Summit Meeting,08/11/2006,8,11,2006,Multiparty signed/agreed,7,Intra,SubPar,MultIss,"Signatories:

Prachanda, Chairman, CPN (Maoist)
Girija Prasad Koirala, Prime Minister and President, Nepali Congress
Madhav Kumar Nepal, Secretary General, CPN (UML)
Sher Bahadur Deuba, President, Nepali Congress (Democratic)
Amik Sherchan, Deputy Prime Minister and Chairman, People’s Front Nepal
Bharat Bimal Yadav, Vice President, NSP (Anandi Devi)
Narayan Man Bijukchhe, President, NWPP
C.P. Mainali, Chairman, United Left Front

November 8, 2006

Note of dissent of the CPN (UML)

While agreeing to the implementation of the above as agreed by all other parties, our party records the following dissenting views:

1.	The CPN (UML) holds a dissenting view that the issue of whether or not to retain the institution of monarchy should be decided by a referendum held simultaneously with the election to the Constituent Assembly.
2.	The CPN (UML) holds a dissenting view that the most democratic method to elect the Constituent Assembly is the proportional system of election.

(Signed)

Madhav Kumar Nepal
Secretary General, CPN (UML)",,"Page 1, Untitled preamble:...Reaffirming full commitments to the 12-point understanding and the 8-point agreement concluded between the Seven Political Parties and the Maoists and the 25-point code of conduct along with all other agreements, understandings, codes of conduct concluded between the Government of Nepal and CPN-Maoists and the letters of similar spirit sent to the United Nations by the Government of Nepal and the Maoists;...

Page 1, II, Relating to the management of Army and Arms: The following shall be done in order for holding the election to the Constituent Assembly in a peaceful, fair and fearless environment and for the democratisation and restructuring of the Nepali Army in line with the spirit of the 12-point understanding, 8-point agreement, 25- point code of conduct and the 5-point letters sent to the United Nations:


Page 2, II, Relating to the management of Army and Arms, Relating to the Maoist army, 1: As per the commitments expressed in the letters sent to the United Nations by the Government of Nepal and the Maoists on August 9, 2006, the combatants of the Maoist army shall be confined to the following temporary cantonments. The United Nations shall verify and monitor them.",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,1,0,0,2,0,1,0,0,2,1,1,0,0,3,0,1,0,3,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,3,2,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,2,2,0,2,0,1,0,1,2,0,0,0,1,0,1,Nepal peace process,88,72.0,269.0,,7900000000000.0,,08/11/2006,2006,16,17,18,0,1,6,12,9,1996.0,2016.0,2005.0,2004.0,2001.0,2007.0,2008.0,2011.0,0.0,Nepal,0.0,790.0,524.0,NEP,NPL,,,,,,931.0,Second Nepal Maoists War,2006,5,1,1,0,1,0,0,1,1,1,0,1,0
