,Unnamed: 0,AgtId,Con,Contp,Reg,Agt,Dat,Day,Month,Year,Status,Lgt,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeSo,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsOth,Mps,MpsMe,MpsJt,MpsOth,HrGen,EqGen,HrDem,Prot,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc,PeaceProcess,PeaceProcessN,UCDPc_code_old,conflict_id,In_other_UCDP,PAID_UCDP,PAM_ID,Date,Year.1,inclusion1,inclusion2,inclusion3,HumRiFrameALL,HumRiCivPolALL,HumRiSocEconALL,humanrightsALL,SecurityALL,Y-10,Y+10,Y-1,Y-2,Y-5,Y+1,Y+2,Y+5,IsLocationProvisional,Location1,IsGWNOprovisional,GWNO,ISONUM,ConShort,ISO3,Location2,GWNO2,ISONUM2,ConShort2,ISO3_2,WarNumCoW,WarNameCoW,yr,anypowersharing,anypowersharing_binom,Amnesty,TJ_bin,politicalps,territorialps,economicps,militaryps,womenandps,TJmechanism,Drugs,Corruption,Crime_Org_Crime
1,2,2,Bosnia and Herzegovina/Yugoslavia (former),Government/territory,Europe and Eurasia,"Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton",10/11/1995,10,11,1995,Multiparty signed/agreed,14,Intra,Imp,ImpMod,"To the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina:
Alija Izetbegovic, President of the Republic of Bosnia and Herzegovina; Kresimir Zubik, President of the Federation of Bosnia and Herzegovina; Dr. Haris Silajdzic, Prime Minister; Jadranko Prlic, Deputy Prime Minister

To the signed Annex to the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina - Agreed Principles for the Interim Statute for the City of Mostar:
Mijo Brajkovic, Mayor of West Mostar; Hans Koachnik, EU Admininstrator; Safet Orucevic, Mayor of East Mostar

To the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina:
Endorsed by: Dr. Franjo Tudjman, President of the Republic of Croatia","Witnessed by: Ambassador Wolfgang Ischinger, Federal Republic of Germany; Ambassador Richard Holbrooke, United States of America; Ambassador Fernandez de la Pena, Spanish EU Presidency; Hans Koschnick, EU Administrator Mostar

To the signed Annex to the Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina - Agreed Principles for the Interim Statute for the City of Mostar:
Muhamed Sacirbey, Minister of Foreign Affairs of the Republic of Bosnia and Herzegovina; Gojko Susak, Minister of Defense of the Republic of Croatia; Ambassador Wolfgang Ischinger, Federal Republic of Germany; Ambassador Fernandez de la Pena, Spanish EU Presidency
","Page 7, Ambassadors
Within one month after the adoption of the legislation referred to in section II A, we
shall implement the agreements reached in Zagreb on 11 September 1994 and at the Petersberg on 10 March 1995 regarding the appointment of Ambassadors.

Page 8, I. Mostar
The Memorandum of Understanding for the EU Administration of 6 July 1994 shall be fully implemented.

Page 12, Annex: Agreed Principles for the Interim Statute for the City of Mostar
3. The City of Mostar shall be composed of six separate City-Municipalities. The boundaries of these City-Municipalities shall be defined in the Interim Statute for the City of Mostar.",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,1,1,3,0,2,0,0,0,0,2,2,0,1,0,1,1,0,0,1,0,3,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,2,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bosnia peace process,140,203.0,398.0,,,,10/11/1995,1995,6,7,7,0,0,0,1,8,1985.0,2005.0,1994.0,1993.0,1990.0,1996.0,1997.0,2000.0,0.0,Bosnia-Herzegovina,0.0,346.0,70.0,BOS,BIH,Yugoslavia,345.0,,YUG,,215.0,War of Bosnian Independence,1995,7,1,0,0,1,1,0,1,1,0,0,0,1
5,6,6,Kosovo/Serbia/Yugoslavia (former),Government/territory,Europe and Eurasia,Kosovo Peace Plan,03/06/1999,3,6,1999,Unilateral document,2,Intra,Pre,Prin,"Copy of agreement unsigned, party believed to be: Slobodan Milosevic, President of Federal Republic of Yugoslavia",Agreement negotiated by European Union envoy Martti Ahtisaari and Russian envoy Viktor Chernomyrdin,"Page 1, 8.
In order to move forward toward solving the Kosovo crisis, an agreement should be reached on the following principles: Political process directed at reaching interim political agreement which would secure essential autonomy for Kosovo, with full taking into consideration of the Rambouillet agreement, the principles of sovereignty and territorial integrity of the Federal Republic of Yugoslavia and other states in the region as well as demilitarization of the Kosovo Liberation Army...

Page 2, 10.
In order to move forward toward solving the Kosovo crisis, an agreement should be reached on the following principles: The end of military activities will depend on acceptance of the listed principles and simultaneous agreement with other previously identified elements which are identified in the footnote below. Then a military-technical agreement will be agreed which will among other things specify additional modalities, including the role and function of the Yugoslav, i.e. Serb, personnel in Kosovo.

Page 2, Footnote.
Other required elements: Fast and precise timetable for the withdrawal which means for instance:...Discussion about the military-technical agreement and its reaching will not prolong the agreed period for the withdrawal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Kosovo process,149,218.0,412.0,,3450000000000.0,,03/06/1999,1999,1,1,2,1,0,0,2,4,1989.0,2009.0,1998.0,1997.0,1994.0,2000.0,2001.0,2004.0,1.0,Yugoslavia,1.0,345.0,,YUG,,,,,,,,,1999,3,1,0,0,0,1,0,0,0,0,0,0,0
23,24,30,India/Bodoland,Government/territory,Asia and Pacific,Memorandum of Settlement ('Bodo Accord'),20/02/1993,20,2,1993,Multiparty signed/agreed,6,Intra,Imp,ImpMod,"S.K.Bwiswamutiary President, ABSU;
Rabi Ram Brahma General Secretary, ABSU;
Subhash Basumatari Chairman, BPAC;
K.S. RAO, Add. Chief Secretary to the Government of Assam;","In the presence of: Rajesh Pilot, Minister or State (Internal Security) Ministry of Home Affairs, Government of India;
Hiteswar Saikia Chief Minister of Assam State Govt. of Assam;",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,1,0,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,1,0,3,0,1,1,1,1,0,1,0,0,3,0,0,1,1,2,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Bodoland peace process,56,227.0,421.0,,7500000000000.0,27.0,20/02/1993,1993,9,9,11,0,0,0,0,7,1983.0,2003.0,1992.0,1991.0,1988.0,1994.0,1995.0,1998.0,1.0,India,1.0,750.0,356.0,IND,IND,,,,,,,,1993,10,1,1,0,1,1,1,1,0,0,0,0,0
24,25,31,India/Mizoram,Government/territory,Asia and Pacific,Five Point Agreement between the Government of Mizoram and the HMAR People’s Convention,29/09/1993,29,9,1993,Multiparty signed/agreed,1,Intra,Pre,PreMix,"Upa Thansung, Vice President, Hmar People’s Convention;
(Vaivenga), Minister, Health & Family Welfare etc., Mizoram;",,"Page 1,
... Final bilateral settlement shall be made after working out the details of the Council within the framework of the above agreed points.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Hmar-Bodoland peace process,57,99.0,296.0,1.0,,,29/09/1993,1993,2,2,2,0,0,0,0,0,1983.0,2003.0,1992.0,1991.0,1988.0,1994.0,1995.0,1998.0,0.0,India,0.0,750.0,356.0,IND,IND,,,,,,,,1993,1,1,0,0,0,1,0,0,0,0,0,0,0
26,27,33,Israel/(Palestine),Government,Middle East and North Africa,Letter of Invitation to Madrid Peace Conference,30/10/1991,30,10,1991,Multiparty signed/agreed,7,InterIntra,Pre,Proc,"Israel, Syria, Lebanon, Jordan, Palestine Liberation Organisation","US, Soviet Union",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Israel-Palestine peace process,69,37.0,234.0,,,,30/10/1991,1991,1,1,3,1,0,0,1,1,1981.0,2001.0,1990.0,1989.0,1986.0,1992.0,1993.0,1996.0,1.0,Israel,1.0,666.0,376.0,ISR,ISR,,,,,,,,1991,1,1,0,0,0,1,0,0,0,0,0,0,0
28,29,35,Israel/Palestine,Government/territory,Middle East and North Africa,Protocol on Further Transfer of Powers and Responsibilities,27/08/1995,27,8,1995,Multiparty signed/agreed,10,Intra,SubPar,MultIss,"Israel, Oren Shachor; PLO, Jamil Tarifi;",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,3,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Israel-Palestine peace process,69,37.0,234.0,,,,27/08/1995,1995,2,2,2,0,0,1,1,4,1985.0,2005.0,1994.0,1993.0,1990.0,1996.0,1997.0,2000.0,0.0,Israel,0.0,666.0,376.0,ISR,ISR,,,,,,,,1995,3,1,0,0,0,1,0,0,0,0,0,0,0
29,30,36,Israel/Palestine,Government/territory,Middle East and North Africa,Protocol on Economic Relations,29/04/1994,29,4,1994,Multiparty signed/agreed,24,Intra,Pre,Prin,"Israel, PLO","Agmt annex to Gaza-Jericho Agmt which was 'Witnessed By': The United States of America,
The Russian Federation,
The Arab Republic of Egypt","Declaration of Principles on Interim Self Government Arrangements signed in Washington D.C. on September 13, 1993 and the Agreed Minutes thereto;",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Israel-Palestine peace process,69,37.0,234.0,,,,29/04/1994,1994,3,4,7,1,0,1,2,1,1984.0,2004.0,1993.0,1992.0,1989.0,1995.0,1996.0,1999.0,0.0,Israel,0.0,666.0,376.0,ISR,ISR,,,,,,,,1994,6,1,0,0,0,1,1,0,1,0,1,0,1
39,40,70,Spain/Basque Country,Government/territory,Europe and Eurasia,The Lizarra Declaration,12/09/1998,12,9,1998,Multiparty signed/agreed,3,Intra,Pre,Prin,"AB, HB, PNV, EA, IU, BATZARRE ZUTIK, ELA, LAB, EHNE, ESK-CUIS, STEE-EILAS, EZKER SINDIKALA, HIRU, GOGOA, AMNISTIAREN ALDEKO BATZORDEAK, SENIDEAK, BAKEA ORAIN, ELKARRI, EGIZAN, HERRIA 2000 ELIZA, CERNIKA BATZORDEA, AUTO- DETERMINAZIOREN BILTZARRAK",,"Page 1, Factors which have propitiated the peace agreement in Northern Ireland
6- The recognition of the right to self-determination of all the citizens of Northern Ireland has involved an intensification of their democratic rights both in content (creating new formulas of sovereignty) and form (giving the citizens of Northern Ireland the final say). The political characteristics of the peace agreement include the idea that the negotiations have taken place not with the intention of winning the conflict, but of resolving this. All the political traditions existing on the island have been included and all the political projects have been afforded the same chance of success, without any limitation other than the backing of the democratic majority.

Page 1, Potential application in the Basque Country.
In accordance with the characteristics of the peace process and agreement in Ireland, we consider that it may be possible to find a way to resolve the conflict that affects the Basque Country if the following guidelines of conduct and action are adhered to:",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Basque internal process,122,147.0,342.0,,,,12/09/1998,1998,1,1,1,0,0,0,1,0,1988.0,2008.0,1997.0,1996.0,1993.0,1999.0,2000.0,2003.0,0.0,Spain,0.0,230.0,724.0,SPN,ESP,,,,,,,,1998,1,1,0,0,0,1,0,0,0,0,0,0,0
41,42,77,Bosnia and Herzegovina/Yugoslavia (former),Government/territory,Europe and Eurasia,Agreed Basic Principles signed on 8 September 1995 at Geneva,08/09/1995,8,9,1995,Multiparty signed/agreed,2,Intra,Pre,Prin,"H.E. Mr. Muhamed Sacirbey, Foreign Minister of the Republic of Bosnia and Herzegovina (Bosnia and Herzegovina); H.E. Mr. Mate Granic, Foreign Minister of the Republic of Croatia (Croatia); and H.E. Mr. Milan Milutinovic, Foreign Minister of the Federal Republic of Yugoslavia (Yugoslavia)","Witnessed by: representatives of France, Germany, the Russian Federation, the United Kingdom of Great Britain and Northern Ireland and the United States of America, and by the European Union Special Negotiator for the Former Yugoslavia","Page 1, 2.
Bosnia and Herzegovina will consist of two entities, the Federation of Bosnia and Herzegovina as established by the Washington Agreements, and the Republica Srpska (RS).

Page 1, 2.1
The 51:49 parameter of the territorial proposal of the Contact Group is the basis for a settlement. This territorial proposal is open for adjustment by mutual agreement.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bosnia peace process,140,194.0,389.0,,,,08/09/1995,1995,2,2,6,1,0,0,3,0,1985.0,2005.0,1994.0,1993.0,1990.0,1996.0,1997.0,2000.0,0.0,Bosnia-Herzegovina,0.0,346.0,70.0,BOS,BIH,Yugoslavia,345.0,,YUG,,215.0,War of Bosnian Independence,1995,2,1,0,0,0,1,0,0,0,0,0,0,0
44,45,80,Solomon Islands,Other,Asia and Pacific,Townsville Peace Agreement,15/10/2000,15,10,2000,Multiparty signed/agreed,30,Intra,SubPar,MultIss,"MALAITA EAGLE FORCE 
……………………………. 
ANDREW G.H. NORI 
Spokesman & Chief Negotiator 
Joint Operation 
…………………………………… 
LESLIE KWAIGA JEREMY RUA 
Deputy Chief Negotiator Supreme Commander 
Joint Operation Malaita Eagle Force 
……………………………………. ……………………………….. 
MALCOLM LAKE JIMMY (RASTA) LUSIBAEA 
Commander, Operations Field Commander 
Malaita Eagle Force Malaita Eagle Force 
…………………………………….. ……………………………….. 
MANASEH MAELANGA LESLIE OFU 
Senior Commander Commander, Operations 
Paramilitary Paramilitary 
…………………………. ………………………………. 
JAMES KILI JEFFERY PASIO 
Field Commander 
Paramilitary Commander, Paramilitary 
………………………………….. 
ALEX BARTLETT 
Secretary General 
Joint Operation 
SIGNED on behalf of the 
ISATABU FREEDOM MOVEMENT
………………………………… 
TARCISIUS TARA KABUTAULAKA 
Chief Negotiator/Chief Spokesman 
………………………………………. 
FRANCIS ORODANI JOSEPH SANGU 
Assistant Spokesman Supreme Commander 
Isatabu Freedom Movement 
(Western Region) 
………………………. ………………………………… 
ANDREW TEE GEORGE GRAY 
Supreme Commander Commander 
Isatabu Freedom Movement Isatabu Freedom Movement 
(Eastern Region) (Western Region) 
………………………………………. ……………………………….. 
CHARLES VANGERE FRANCIS KENNEDY 
Supreme Commander Commander 
Isatabu Freedom Movement Isatabu Freedom Movement 
(Western Region) (Western Region) 
………………………………………. ………………………………. 
SELWYN SAKI PATRICK TUNA 
Supreme Commander Commander 
Isatabu Freedom Movement Isatabu Freedom Movement 
(Eastern Region) (Eastern Region) 
…………………………………….. 
JOHN GEREA 
Isatabu Freedom Movement 
(Eastern Region) 
SIGNED on behalf of the 
MALAITA PROVINCIAL GOVERNMENT 
……………………………… 
HON. DAVID OETA 
Premier 
Malaita Province 
SIGNED on behalf of the 
GUADALCANAL PROVINCIAL GOVERNMENT 
……………..……………… 
RT. HON. EZEKIEL ALEBUA 
Premier 
Guadalcanal Province 
SIGNED on behalf of the SOLOMON ISLANDS GOVERNMENT 
………………………………………. ………………………………. 
HON. ALLAN KEMAKEZA HON. WILLIAM HAOMAE 
Deputy Prime Minister & Minister Minister for Police & Justice 
For National Unity, Reconciliation & Peace 
WITNESSETH BY 
Sir Peter Kenilorea ……………………………… 
Paul Tovua ………………………………. 
Archbishop E. Pogo …………………………… 
Hon. Mark Kemakeza ……………………………… 
Hon. Reuben Lilo ……………………………… 
Hon. Francis Taupongi ……………………………. 
Hon. Jacob Pitu ……………………………. 
Hon. Daniel Nahusu ……………………………. 
Hon. Jackson Kiloe …………………………… 
Hon. Ronald Fugui …………………………… ",,"Page 2, Preamble
... AND WHEREAS in pursuit of the quest for peaceful resolution of the crisis, the SIG facilitated and secured the signing of the following main agreements –
	•	(a) The Honiara Peace Accord dated 28 June, 1999; and
	•	(b) The Panatina Agreement 12th August 1999
	•	(c) The Marau Communiqué dated 15 July, 1999
	•	(d) Memorandum of Understanding between SIG and GPG, 13th June 1999
	•	(e) Buala Peace Communique 5 May 2000
	•	(f) Auki Communique 12 May 2000",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,3,0,1,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,1,1,1,Solomon Islands peace process,89,,,1.0,,,15/10/2000,2000,6,6,6,0,1,0,1,9,1990.0,2010.0,1999.0,1998.0,1995.0,2001.0,2002.0,2005.0,0.0,Solomon Islands,0.0,940.0,90.0,SOL,SLB,,,,,,,,2000,3,1,1,0,0,1,0,0,0,0,0,0,0
