,AgtId,Con,Contp,Reg,Agt,Dat,Day,Month,Year,Status,Lgt,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeSo,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsOth,Mps,MpsMe,MpsJt,MpsOth,HrGen,EqGen,HrDem,Prot,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc,PeaceProcess,PeaceProcessN,UCDPc_code_old,conflict_id,In_other_UCDP,PAID_UCDP,PAM_ID,Date,Year,inclusion1,inclusion2,inclusion3,HumRiFrameALL,HumRiCivPolALL,HumRiSocEconALL,humanrightsALL,SecurityALL,Y-10,Y+10,Y-1,Y-2,Y-5,Y+1,Y+2,Y+5,IsLocationProvisional,Location1,IsGWNOprovisional,GWNO,ISONUM,ConShort,ISO3,Location2,GWNO2,ISONUM2,ConShort2,ISO3_2,WarNumCoW,WarNameCoW,yr,anypowersharing,anypowersharing_binom,Amnesty,TJ_bin,politicalps,territorialps,economicps,militaryps,womenandps,TJmechanism,Drugs,Corruption,Crime_Org_Crime
95,145,Colombia,Government,Americas,Acuerdo de Los Pozos,09/02/2001,9,2,2001,Multiparty signed/agreed,2,Intra,Pre,Proc,"Signed:
ANDRÉS PASTRANA ARANGO, FARC-EP
MANUEL MARULANDA VÉLEZ, Presidente de la República",/,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,Colombia III - Arango,108,92,289,NA,1.00E+12,NA,09/02/2001,2001,0,0,0,0,0,0,1,3,1991,2011,2000,1999,1996,2002,2003,2006,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,2001,0,0,0,0,0,0,0,0,0,0,1,0,0
96,146,Colombia,Government,Americas,Acuerdo entre Gobierno Nacional y las Autodefensas unidas de Colombia para la zona de Ubicación en Tierralta (Acuerdo de Fátima),13/05/2004,13,5,2004,Multiparty signed/agreed,5,Intra,SubPar,MultIss,"National Govt, AUC","Witness: For the OEA, MAPP/OEA support mission Sergio Caramagna
For the Cath Church Monsenor Julio Cesar Vidal",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Colombia IV - Uribe,109,92,289,NA,NA,NA,13/05/2004,2004,2,2,2,0,0,0,0,4,1994,2014,2003,2002,1999,2005,2006,2009,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,2004,0,0,0,0,0,0,0,0,0,0,0,0,0
97,147,Colombia,Government,Americas,"Acuerdo para la Paz y la Convivencia Ciudadana, Gobierno Nacional, Departamental y Municipal y Melicias Populares del Pueblo y para el Pueblo, Milicias Independientes, de Valle de Aburra y Milicias Metropolitanas, de la Ciudad de Medellin",26/05/1994,26,5,1994,Multiparty signed/agreed,12,Intra,SubComp,FrAg,"Por el Gobierno Nacional: CÉSAR GAVIRIA TRUJILLO Presidente de la República FABIO VILLEGAS RAMÍREZ Ministro de Gobierno JORGE ORLANDO MELO Consejero Presidencial para Medellín y su Area Metropolitana LUIS ALFREDO RAMOS BOTERO Alcalde de Medellín CARLOS EDUARDO JARAMILLO CASTILLO Consejero Presidencial para la Paz JUAN GOMEZ MARTÍNEZ Gobernador de Antioquia

Por las Milicias: Negociadores: CARLOS HERMAN CORREA HENAO ROBERTO EMILIO BEDOYA FERLY WEIMAR OROZCO MUÑOZ Voceros: JAMES ORREGO GONZALO CASTAÑO JOEL DE JESUS MAZO RAMIREZ HECTOR HERNANDO BENITEZ MORENO ARLES DE JESUS AGUIRRE ARLES RODRIGUEZ MORA",Testigo-Tutor: MONSEÑOR HECTOR FABIO HENAO,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Colombia I - Gaviria,106,92,289,NA,NA,NA,26/05/1994,1994,0,0,3,0,0,0,4,5,1984,2004,1993,1992,1989,1995,1996,1999,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,1994,1,1,1,0,0,1,0,0,0,0,0,0,0
98,148,Colombia,Government,Americas,"Acuerdo Político Final, Gobierno Nacional - Frente Francisco Garnica de la Coordinadora Guerrillera",30/06/1994,30,6,1994,Multiparty signed/agreed,7,Intra,SubPar,MultIss,"For the national government:
CESAR GAVIRIA TRUJILLO, President of the Republic
CARLOS EDUARDO JARAMILLO, Presidential Peace Councillor
FABIO VILLEGAS RAMIREZ, Minister of the Interior

For FFG:
LIBARDO ESCALANTE SIERRA
HIERTA DIAZ
JOSE FELIX PADILLA YEPES
LIBARDO LEONES LANDERO","Witness: Monsenor Guillermo Vega, Conferencia Episcopal de Colombia",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,Colombia I - Gaviria,106,92,289,NA,NA,NA,30/06/1994,1994,0,0,0,0,0,0,0,4,1984,2004,1993,1992,1989,1995,1996,1999,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,1994,1,1,1,0,0,1,0,0,0,0,0,0,0
99,149,Colombia,Government,Americas,Acuerdo Final entre el Gobierno Nacional y el Ejército Popular de Liberación – EPL,15/02/1991,15,2,1991,Multiparty signed/agreed,16,Intra,SubComp,FrAg,"Por el Gobierno Nacional
HUMBERTO DE LA CALLE LOMBANA
Ministro de Gobierno JESUS A. BEJARANO AVILA
Consejero Presidencial
CARLOS EDUARDO JARAMILLO C.
Asesor de la Consejería
ALVARO HERNANDEZ V.
Asesor de la Consejería
TOMAS CONCHA SANZ
Asesor de la Consejería GABRIEL RESTREPO FORERO
Asesor de la Consejería
GONZALO DE FRANCISCO ZAMBRANO
Asesor de la Consejería

Por el EPL
JAIME FAJARDO Comisión Negociadora
ANIBAL PALACIO Comisión Negociadora 
LUIS FERNANDO PINEDA Comisión Negociadora 
BERNARDO GUTIÉRREZ Comisión Negociadora 
JAIRO MORALES Comisión Negociadora 
MARCOS JARA Comisión Negociadora","Witnesses:
Moseñor GUILLERMO VEGA
Conferencia Episcopal Colombiana
Don MANUEL MEDINA
Veedor por el Partido Socialista Obrero Español Y la Internacional Socialista
",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,1,1,Colombia I - Gaviria,106,92,289,NA,1.00E+12,NA,15/02/1991,1991,0,0,5,1,0,0,9,5,1981,2001,1990,1989,1986,1992,1993,1996,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,1991,0,0,1,0,0,0,0,0,0,0,0,0,0
100,150,Colombia,Government,Americas,"Acuerdo Final: Gobierno  Nacional, Gobernación de Antioquia y Alcaldía de Medellín con el Movimiento Independiente Revolucionario-Comandos Armados MIR-COAR",29/07/1998,29,7,1998,Multiparty signed/agreed,15,Intra,SubComp,FrAg,"•    ERNESTO SAMPER PIZANO, President of the Republic
•    ALFONSO LÓPEZ CABALLERO, Minister of the Interior
•    GILBERTO ECHEVERRI MEJÍA, Minister of National Defence
•    DANIEL GARCÍA-PEÑA, Office of the High Commissioner for Peace
•    TOMÁS E. CONCHA SANZ, National Coordinator of the Reinsertion Programme
•    PATRICIA PINEDA DE CASTRO, Manager of the Peace Fund
•    IVÁN FELIPE PALACIO, Government Secretary of the Municipality of Medellín
•    JUAN GOMEZ MARTÍNEZ, Mayor of Medellín
•    ALBERTO BUIIES, Governor of Antioquia
•    LUIS F. QUIJANO MORENO, MIR–COAR negotiator
•    ÁLVARO RAMÍREZ RIVERA, MIR–COAR negotiator
•    SANTIAGO QUIJANO MORENO, MIR–COAR spokesperson
•    CARLOS M. ARENAS LÓPEZ, MIR–COAR spokesperson","Padre Jorge Martinez, Process Observer.

•    MANUEL CONDE ORELLANA, International Monitor
",NA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,Colombia II - Samper,107,92,289,NA,NA,NA,29/07/1998,1998,4,4,8,0,0,0,4,4,1988,2008,1997,1996,1993,1999,2000,2003,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,1998,0,0,1,0,0,0,0,0,0,0,0,0,0
101,151,Colombia,Government,Americas,"Acuerdo Final entre el Gobierno Nacional y el Movimieto Armado Quintin Lame, Campamento de Pueblo Nuevo Caldono-Cauca",27/05/1991,27,5,1991,Multiparty signed/agreed,13,Intra,SubComp,FrAg,"For the national government:
JESUS ANTONIO BEJARANO, Peace Council
CARLOS EDUARDO JARAMILLO C., Council Adviser
ALVARO HERNANDEZ, Council Adviser
TOMAS CONCHA S., Council Adviser
HUMBERTO VERGARA P. Council Adviser
GONZALO DE FRANCISCO Z., Council Adviser
GABRIEL RESTREPO F., Council Adviser

For MAQL:
Chief of staff:

GILDARDO FERNANDEZ
CARLOS ANDRADE
RICARDO ROMERO
RUBEN DARIO MONROY
RICHARD SANCHEZ
FRANKY GUERRERO

Political leadership:
LEONARDO ULCUE
CIRO TIQUE
IVAN QUINTERO
FERNANDO MUÑOZ
GABRIEL MARTINEZ","International monitors:
The World Council of Indigenous Peoples:
DONALD ROJAS, President
RODRIGO CONTRERAS

The Spanish Human Rights Association:
LUIS OTERO FERNANDEZ",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,Colombia I - Gaviria,106,92,289,NA,NA,NA,27/05/1991,1991,2,3,4,0,0,0,2,4,1981,2001,1990,1989,1986,1992,1993,1996,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,1991,0,0,1,0,0,0,0,0,0,0,0,0,0
102,152,Colombia,Government,Americas,"Acuerdo Final entre el Gobierno Nacional y el Partido Revolucionario de los Trabajadores, don Gabriel, Ovejas, Sucre",25/01/1991,25,1,1991,Multiparty signed/agreed,15,Intra,SubComp,FrAg,"On behalf of the national government:
JESUS ANTONIO BEJARANO Presidential Council
CARLOS EDUARDO JARAMILLO Council Adviser
GONZALO DE FRANCISCO Council Adviser
ALVARO HERNÁNDEZ Council Adviser
GABRIEL RESTREPO Council Adviser
TOMAS CONCHA SANZ Council Adviser

On behalf or PRT:
VALENTIN GONZALEZ
SERGIO SIERRA
PABLO RONCALLO
RAFAEL GONZALEZ
ERNESTO FALLA",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,1,1,Colombia I - Gaviria,106,92,289,NA,NA,NA,25/01/1991,1991,2,2,5,0,0,0,4,7,1981,2001,1990,1989,1986,1992,1993,1996,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,1991,0,0,1,0,0,0,0,0,0,1,0,0,0
103,153,Colombia,Government,Americas,Acuerdo sobre el Acompañamiento Nacional e Internacional a la Mesa de Dialogo y Negociacion,07/02/2002,7,2,2002,Multiparty signed/agreed,4,Intra,Pre,Proc,"For the Government
CAMILO GOMEZ, High Commissioner for Peace
JUAN GABRIEL URIBE, Special Adviser
MANUEL SALAZAR
REINALDO BOTERO, Negotiator
RICARDO CORREA, Negotiator

For FARC–EP:
RAUL REYES, Spokesperson
JOAQUIN GOMEZ, Spokesperson
CARLOS ANTONIO LOZADA, Spokesperson
SIMON TRINIDAD, Spokesperson
ANDRES PARIS, Spokesperson","The agreement notes that the meeting was held in the presence of representatives of the Facilitating Commission, the Special Envoy of the Secretary General of the United Nations and the Catholic Church of Colombia.","Agreement of Caquetania on 2 May 1999
Agreement of Los Pozos, in Communication No. 27, dated 9 March 2001
Agreement on the Consensus Timeline for the Future of the Peace Process, 20 January 2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Colombia III - Arango,108,92,289,NA,NA,NA,07/02/2002,2002,0,0,0,0,0,0,0,0,1992,2012,2001,2000,1997,2003,2004,2007,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
104,154,Colombia,Government,Americas,Acuerdo de San Francisco de la Sombra para Concretar y Consolidar el Proceso de Paz,05/10/2001,5,10,2001,Multiparty signed/agreed,4,Intra,Pre,Proc,"For the national government:
CAMILO GÓMEZ ALZATE, High Commissioner for Peace
JUAN GABRIEL URIBE, Special Adviser

For FARC–EP:
MANUEL MARULANDA VÉLEZ, Commander in Chief of FARC–EP
RAÚL REYES, Spokesperson
JOAQUÍN GÓMEZ, Spokesperson
SIMÓN TRINIDAD, Spokesperson
ANDRÉS PARÍS, Spokesperson
CARLOS ANTONIO LOZADA, Spokesperson
JORGE BRICEÑO, Commander
IVÁN RÍOS, Commander",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Colombia III - Arango,108,92,289,NA,NA,NA,05/10/2001,2001,0,0,0,0,0,0,1,4,1991,2011,2000,1999,1996,2002,2003,2006,0,Colombia,0,100,170,COL,COL,NA,NA,NA,NA,NA,856,Eighth Colombia,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
