,AgtId,Con,Agt,Dat,PeaceProcess,PeaceProcessN,UCDPc_code_old,conflict_id,In_other_UCDP,PAID_UCDP,PAM_ID,GWNO,ISONUM,GWNO2,ISONUM2
1,1,Angola,"Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998",09/01/1998,UNITA process,4,131,327,NA,NA,NA,540,24,NA,NA
2,2,Bosnia and Herzegovina/Yugoslavia (former),"Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton",10/11/1995,Bosnia peace process,140,203,398,NA,NA,NA,346,70,345,NA
3,3,Central African Republic,"Declaration of Heads of State, Bangui (Bangui Accords)",25/01/1997,Bangui process,16,222,416,NA,NA,NA,482,140,NA,NA
4,4,(East Timor),UN Security Council Resolution 1236,07/05/1999,East Timor-Indonesia peace process,63,134,330,NA,NA,NA,850,360,NA,NA
5,5,Kosovo/Serbia/Yugoslavia (former),UN Security Council Resolution 1244,10/06/1999,Kosovo process,149,218,412,NA,NA,NA,345,NA,NA,NA
6,6,Kosovo/Serbia/Yugoslavia (former),Kosovo Peace Plan,03/06/1999,Kosovo process,149,218,412,NA,3.45E+12,NA,345,NA,NA,NA
7,8,Gabon,Accord de Paris,07/10/1994,Gabon peace process,47,NA,NA,NA,NA,NA,481,266,NA,NA
8,9,Georgia/Abkhazia,Rules Governing the Work of the Working Groups,12/06/1997,Abkhazia peace process,48,197,392,NA,NA,NA,372,268,NA,NA
9,10,Georgia/Russia/Abkhazia,Final Document of the Moscow Meeting (Moscow Ceasefire),03/09/1992,Abkhazia peace process,48,197,392,NA,NA,NA,372,268,365,643
10,12,Georgia/Abkhazia,Memorandum of understanding between the Georgian and Abkhaz sides at the negotiations held in Geneva,01/12/1993,Abkhazia peace process,48,197,392,NA,NA,NA,372,268,NA,NA
11,13,Georgia/Abkhazia,Communiqué on the second round of negotiations between the Georgian and Abkhaz sides,13/01/1994,Abkhazia peace process,48,197,392,NA,NA,NA,372,268,NA,NA
12,17,Georgia/Abkhazia,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,22/01/1998,Abkhazia peace process,48,197,392,NA,NA,NA,372,268,NA,NA
